Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",105,1,DMITRII TIMOFEEV,M,RUS,6.000,WILDCARD
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1359,2,LIBOR HROZA,M,CZE,6.470,FALSE START
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1480,3,DANYIL BOLDYREV,M,UKR,6.800,5.87
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2845,4,MARCIN DZIENSKI,M,POL,6.210,7.56
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",56,5,EVGENII VAITSEKHOVSKII,M,RUS,6.570,6.81
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",7613,6,BASSA MAWEM,M,FRA,6.070,7.30
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3471,7,REZA ALIPOUR SHENAZANDIFARD,M,IRI,6.000,FALL
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",74,8,STANISLAV KOKORIN,M,RUS,6.320,FALL
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3258,9,YULIANTO ABUDZAR,M,INA,6.910,6.59
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3276,10,SUFRIYANTO RINDI,M,INA,6.850,6.65
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",861,11,ALESSANDRO SANTONI,M,ITA,6.900,6.66
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",154,12,ALEKSANDR SHILOV,M,RUS,6.610,7.45
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",856,13,LEONARDO GONTERO,M,ITA,6.810,7.73
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2951,14,ZHIYONG OU,M,CHN,6.630,8.55
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3459,15,HAMIDREZA TOOZANDEHJANI,M,IRI,6.830,9.74
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",109,16,ALEKSANDR SHIKOV,M,RUS,6.340,FALSE START
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3259,17,PANDU ASMORO GALAR,M,INA,6.950,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1372,18,JAN KRIZ,M,CZE,7.160,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2856,19,MICHAL LEWICKI,M,POL,7.330,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2048,20,SUNGJOON CHAE,M,KOR,7.340,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3487,21,MORTEZA MOHAMMADI,M,IRI,7.390,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2944,22,ZHIXUAN CHEN,M,CHN,7.530,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2938,23,ZIDA MA,M,CHN,7.730,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2950,24,PENGHUI LIN,M,CHN,7.780,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1559,25,SEAN MCCOLL,M,CAN,7.820,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1478,26,IGOR TYAPKIN,M,UKR,7.940,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2965,27,YURONG DUAN,M,CHN,8.200,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2860,28,TOMASZ SORDYL,M,POL,8.610,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2931,29,HAIBIN QU,M,CHN,8.660,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2947,30,YUFEI PAN,M,CHN,8.990,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2309,31,YOSHIYUKI OGATA,M,JPN,9.330,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2217,32,CHI-FUNG AU,M,HKG,9.920,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3368,33,YERZHAN BEISEMBAYEV,M,KAZ,10.910,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2218,34,CHEUNG-CHI SHOJI CHAN,M,HKG,11.360,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2265,35,KEITA WATABE,M,JPN,FALL,
