Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2845,1,MARCIN DZIENSKI,M,POL,5.910,5.76
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1480,2,DANYIL BOLDYREV,M,UKR,6.090,5.81
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",7613,3,BASSA MAWEM,M,FRA,6.140,6.08
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",856,4,LEONARDO GONTERO,M,ITA,6.410,6.19
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1359,5,LIBOR HROZA,M,CZE,6.570,6.16
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",109,6,ALEKSANDR SHIKOV,M,RUS,6.290,6.26
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",464,7,QUENTIN NAMBOT,M,FRA,6.600,7.29
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",474,8,GUILLAUME MORO,M,FRA,6.490,8.73
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",861,9,ALESSANDRO SANTONI,M,ITA,6.770,6.28
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",74,10,STANISLAV KOKORIN,M,RUS,6.460,6.29
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",865,11,LUDOVICO FOSSALI,M,ITA,6.840,6.40
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",146,12,ARSENII BOGOMOLOV,M,RUS,6.640,6.42
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",154,13,ALEKSANDR SHILOV,M,RUS,6.510,6.58
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2849,14,RAFAL HALASA,M,POL,6.990,7.24
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1492,15,KOSTIANTYN PAVLENKO,M,UKR,6.440,7.31
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1372,16,JAN KRIZ,M,CZE,6.720,FALL
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2856,17,MICHAL LEWICKI,M,POL,7.170,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3208,18,ISAAC ESTEVEZ,M,ECU,7.180,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",936,19,CRISTIAN DORIGATTI,M,ITA,7.280,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1263,20,LUKAS KNAPP,M,AUT,7.590,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",933,21,LEONARDO SANDRIN,M,ITA,7.600,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",952,22,ALESSANDRO CINGARI,M,ITA,7.610,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",917,23,GABRIELE RANDI,M,ITA,7.640,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",900,24,PAOLO MARTIGNENE,M,ITA,7.660,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",885,25,STANISLAO ZAMA,M,ITA,7.860,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1798,26,NOAH BRATSCHI,M,USA,8.080,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",902,27,DAVIDE BUOSO,M,ITA,8.400,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2852,28,MACIEJ STYLA,M,POL,8.520,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",899,29,GIAN LUCA ZODDA,M,ITA,9.550,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1843,30,MICHAEL FINN-HENRY,M,USA,9.650,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1827,31,AHMED TOURE,M,USA,9.970,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3111,32,DAVID FIRNENBURG,M,GER,11.340,
