Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2845,1,MARCIN DZIENSKI,POL,5.910,5.76
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1480,2,DANYIL BOLDYREV,UKR,6.090,5.81
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",7613,3,BASSA MAWEM,FRA,6.140,6.08
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",856,4,LEONARDO GONTERO,ITA,6.410,6.19
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1359,5,LIBOR HROZA,CZE,6.570,6.16
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",109,6,ALEKSANDR SHIKOV,RUS,6.290,6.26
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",464,7,QUENTIN NAMBOT,FRA,6.600,7.29
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",474,8,GUILLAUME MORO,FRA,6.490,8.73
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",861,9,ALESSANDRO SANTONI,ITA,6.770,6.28
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",74,10,STANISLAV KOKORIN,RUS,6.460,6.29
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",865,11,LUDOVICO FOSSALI,ITA,6.840,6.40
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",146,12,ARSENII BOGOMOLOV,RUS,6.640,6.42
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",154,13,ALEKSANDR SHILOV,RUS,6.510,6.58
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2849,14,RAFAL HALASA,POL,6.990,7.24
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1492,15,KOSTIANTYN PAVLENKO,UKR,6.440,7.31
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1372,16,JAN KRIZ,CZE,6.720,FALL
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2856,17,MICHAL LEWICKI,POL,7.170,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3208,18,ISAAC ESTEVEZ,ECU,7.180,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",936,19,CRISTIAN DORIGATTI,ITA,7.280,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1263,20,LUKAS KNAPP,AUT,7.590,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",933,21,LEONARDO SANDRIN,ITA,7.600,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",952,22,ALESSANDRO CINGARI,ITA,7.610,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",917,23,GABRIELE RANDI,ITA,7.640,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",900,24,PAOLO MARTIGNENE,ITA,7.660,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",885,25,STANISLAO ZAMA,ITA,7.860,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1798,26,NOAH BRATSCHI,USA,8.080,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",902,27,DAVIDE BUOSO,ITA,8.400,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2852,28,MACIEJ STYLA,POL,8.520,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",899,29,GIAN LUCA ZODDA,ITA,9.550,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1843,30,MICHAEL FINN-HENRY,USA,9.650,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",1827,31,AHMED TOURE,USA,9.970,
"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",3111,32,DAVID FIRNENBURG,GER,11.340,
