Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",74,1,STANISLAV KOKORIN,RUS,6.440,6.00
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",7613,2,BASSA MAWEM,FRA,6.080,6.01
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2929,3,QIXIN ZHONG,CHN,6.200,6.20
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",98,4,VLADISLAV DEULIN,RUS,6.390,6.36
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1480,5,DANYIL BOLDYREV,UKR,6.410,6.22
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",474,6,GUILLAUME MORO,FRA,6.440,7.68
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",464,7,QUENTIN NAMBOT,FRA,6.730,8.43
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",3471,8,REZA ALIPOUR SHENAZANDIFARD,IRI,5.970,FALL
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",856,9,LEONARDO GONTERO,ITA,6.770,6.58
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",865,10,LUDOVICO FOSSALI,ITA,6.730,6.95
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",3459,11,HAMIDREZA TOOZANDEHJANI,IRI,6.640,7.32
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2942,12,GUANGDONG LI,CHN,6.820,9.87
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2845,13,MARCIN DZIENSKI,POL,6.280,FALSE START
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",109,14,ALEKSANDR SHIKOV,RUS,6.620,FALSE START
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2951,15,ZHIYONG OU,CHN,6.660,FALSE START
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1372,16,JAN KRIZ,CZE,6.790,FALL
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2950,17,PENGHUI LIN,CHN,7.020,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2849,18,RAFAL HALASA,POL,7.030,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",861,18,ALESSANDRO SANTONI,ITA,7.030,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2944,20,ZHIXUAN CHEN,CHN,7.230,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2958,21,ZHAXI BIANBA,CHN,7.450,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2973,22,XU HAORAN,CHN,7.810,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2938,23,ZIDA MA,CHN,7.930,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2856,24,MICHAL LEWICKI,POL,8.090,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2989,25,DANZENG CHILIE,CHN,8.660,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1559,26,SEAN MCCOLL,CAN,9.650,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",2217,27,CHI-FUNG AU,HKG,9.900,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",776,28,JAVIER CANO BLAZQUEZ,ESP,10.960,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",816,29,SERGIO PASTOR MARTÍNEZ,ESP,11.970,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",1576,30,ELAN JONASMCRAE,CAN,12.530,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",4336,31,ZAHEER AHMAD,PAK,23.370,
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2016",4337,32,SAJID ASLAM,PAK,FALL,
