Event,ID,Rank,Name,Gender,Country,Qualification,Final
IFSC Climbing World Championships - Paris (FRA) 2016,2845,1,MARCIN DZIENSKI,M,POL,6.350,5.83
IFSC Climbing World Championships - Paris (FRA) 2016,3471,2,REZA ALIPOUR SHENAZANDIFARD,M,IRI,5.960,7.37
IFSC Climbing World Championships - Paris (FRA) 2016,109,3,ALEKSANDR SHIKOV,M,RUS,6.230,5.95
IFSC Climbing World Championships - Paris (FRA) 2016,7613,4,BASSA MAWEM,M,FRA,6.300,FALL
IFSC Climbing World Championships - Paris (FRA) 2016,856,5,LEONARDO GONTERO,M,ITA,6.390,6.24
IFSC Climbing World Championships - Paris (FRA) 2016,74,6,STANISLAV KOKORIN,M,RUS,6.280,6.25
IFSC Climbing World Championships - Paris (FRA) 2016,1359,7,LIBOR HROZA,M,CZE,6.140,8.21
IFSC Climbing World Championships - Paris (FRA) 2016,1480,8,DANYIL BOLDYREV,M,UKR,6.000,FALL
IFSC Climbing World Championships - Paris (FRA) 2016,105,9,DMITRII TIMOFEEV,M,RUS,6.530,6.31
IFSC Climbing World Championships - Paris (FRA) 2016,1492,10,KOSTIANTYN PAVLENKO,M,UKR,6.700,6.34
IFSC Climbing World Championships - Paris (FRA) 2016,464,11,QUENTIN NAMBOT,M,FRA,6.530,6.59
IFSC Climbing World Championships - Paris (FRA) 2016,1754,12,JOHN BROSLER,M,USA,6.610,7.21
IFSC Climbing World Championships - Paris (FRA) 2016,865,13,LUDOVICO FOSSALI,M,ITA,6.670,7.29
IFSC Climbing World Championships - Paris (FRA) 2016,2929,14,QIXIN ZHONG,M,CHN,6.420,FALL
IFSC Climbing World Championships - Paris (FRA) 2016,92,15,GEORGY ARTAMONOV,M,RUS,6.530,FALL
IFSC Climbing World Championships - Paris (FRA) 2016,1372,16,JAN KRIZ,M,CZE,6.550,FALL
IFSC Climbing World Championships - Paris (FRA) 2016,2951,17,ZHIYONG OU,M,CHN,6.740,
IFSC Climbing World Championships - Paris (FRA) 2016,899,18,GIAN LUCA ZODDA,M,ITA,6.790,
IFSC Climbing World Championships - Paris (FRA) 2016,474,19,GUILLAUME MORO,M,FRA,6.800,
IFSC Climbing World Championships - Paris (FRA) 2016,146,20,ARSENII BOGOMOLOV,M,RUS,6.810,
IFSC Climbing World Championships - Paris (FRA) 2016,2069,21,SEUNGBEOM LEE,M,KOR,6.960,
IFSC Climbing World Championships - Paris (FRA) 2016,885,21,STANISLAO ZAMA,M,ITA,6.960,
IFSC Climbing World Championships - Paris (FRA) 2016,1766,23,MAX HAMMER,M,USA,7.010,
IFSC Climbing World Championships - Paris (FRA) 2016,2950,24,PENGHUI LIN,M,CHN,7.210,
IFSC Climbing World Championships - Paris (FRA) 2016,1789,25,GENTRY COLE,M,USA,7.220,
IFSC Climbing World Championships - Paris (FRA) 2016,143,26,PETR ZEMLIAKOV,M,RUS,7.230,
IFSC Climbing World Championships - Paris (FRA) 2016,3208,27,ISAAC ESTEVEZ,M,ECU,7.250,
IFSC Climbing World Championships - Paris (FRA) 2016,2048,28,SUNGJOON CHAE,M,KOR,7.390,
IFSC Climbing World Championships - Paris (FRA) 2016,1394,29,MATEJ BURIAN,M,CZE,7.650,
IFSC Climbing World Championships - Paris (FRA) 2016,1471,30,OLEKSANDR SALIMOV,M,UKR,7.670,
IFSC Climbing World Championships - Paris (FRA) 2016,1477,31,OLEXIY ZAYCHENKO,M,UKR,7.740,
IFSC Climbing World Championships - Paris (FRA) 2016,490,32,MANUEL CORNU,M,FRA,7.820,
