Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",98,1,VLADISLAV DEULIN,M,RUS,6.170,5.91
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",74,2,STANISLAV KOKORIN,M,RUS,6.240,5.96
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1480,3,DANYIL BOLDYREV,M,UKR,6.040,5.62
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",7613,4,BASSA MAWEM,M,FRA,6.370,6.88
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",109,5,ALEKSANDR SHIKOV,M,RUS,6.380,5.92
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",856,6,LEONARDO GONTERO,M,ITA,6.250,6.16
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3471,7,REZA ALIPOUR SHENAZANDIFARD,M,IRI,6.080,6.44
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1359,8,LIBOR HROZA,M,CZE,6.170,7.80
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2929,9,QIXIN ZHONG,M,CHN,6.380,6.30
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",92,10,GEORGY ARTAMONOV,M,RUS,6.550,6.38
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2950,11,PENGHUI LIN,M,CHN,6.820,6.61
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2996,12,JINXIN LI,M,CHN,6.570,6.72
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",146,13,ARSENII BOGOMOLOV,M,RUS,6.660,7.76
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1492,14,KOSTIANTYN PAVLENKO,M,UKR,6.400,8.00
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",154,15,ALEKSANDR SHILOV,M,RUS,6.690,8.64
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",865,16,LUDOVICO FOSSALI,M,ITA,6.620,FALL
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2076,17,YONGSU LEE,M,KOR,6.910,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2845,18,MARCIN DZIENSKI,M,POL,7.000,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",861,19,ALESSANDRO SANTONI,M,ITA,7.060,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2954,20,DICHONG HUANG,M,CHN,7.110,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2048,21,SUNGJOON CHAE,M,KOR,7.230,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3375,22,ALIMZHAN MYRZABEKOV,M,KAZ,7.340,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3358,23,ARTYOM DEVYATERIKOV,M,KAZ,7.750,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3360,24,ALEXEY MOLCHANOV,M,KAZ,7.760,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2960,25,FENGQI WANG,M,CHN,7.930,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2217,26,CHI-FUNG AU,M,HKG,7.990,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2084,27,JONGSEOK SON,M,KOR,8.150,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3367,28,ALEXEY PANFILOV,M,KAZ,8.220,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",3387,29,ANDREY YURIN,M,KAZ,8.300,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",1559,30,SEAN MCCOLL,M,CAN,8.450,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2975,31,SHUANGXI MO,M,CHN,8.500,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2046,32,SUNGBO SEO,M,KOR,8.620,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2947,33,YUFEI PAN,M,CHN,9.140,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2214,34,KA-CHUN YAU,M,HKG,10.020,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",776,35,JAVIER CANO BLAZQUEZ,M,ESP,10.080,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",803,36,SERGIO VERDASCO URIZAL,M,ESP,10.390,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2218,37,CHEUNG-CHI SHOJI CHAN,M,HKG,10.400,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2226,38,HEI-YEUNG LAM,M,HKG,10.470,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",797,39,JONATAN FLOR VAZQUEZ,M,ESP,11.260,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",816,40,SERGIO PASTOR MARTÍNEZ,M,ESP,11.430,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",780,41,POL ROCA LOPEZ,M,ESP,11.560,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2033,42,JABEE KIM,M,KOR,11.960,
