Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1480,1,DANYIL BOLDYREV,M,UKR,6.100,5.58
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",154,2,ALEKSANDR SHILOV,M,RUS,6.050,5.70
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3471,3,REZA ALIPOUR SHENAZANDIFARD,M,IRI,5.850,5.59
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",105,4,DMITRII TIMOFEEV,M,RUS,5.800,6.26
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",98,5,VLADISLAV DEULIN,M,RUS,6.310,6.11
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",2845,6,MARCIN DZIENSKI,M,POL,6.290,6.49
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1372,7,JAN KRIZ,M,CZE,6.210,6.80
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",7613,8,BASSA MAWEM,M,FRA,6.160,FALL
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",109,9,ALEKSANDR SHIKOV,M,RUS,6.330,6.00
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",74,10,STANISLAV KOKORIN,M,RUS,6.300,6.10
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1492,11,KOSTIANTYN PAVLENKO,M,UKR,6.080,6.27
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",856,12,LEONARDO GONTERO,M,ITA,6.280,6.32
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1754,13,JOHN BROSLER,M,USA,6.300,6.32
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",120,14,LEV RUDATSKIY,M,RUS,6.320,6.34
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",865,15,LUDOVICO FOSSALI,M,ITA,6.330,6.60
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",861,16,ALESSANDRO SANTONI,M,ITA,6.200,7.13
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",494,17,PIERRE REBREYEND,M,FRA,6.390,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",106,18,ARTEM KHABIBULLIN,M,RUS,6.400,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",3211,19,CARLOS GRANJA,M,ECU,6.410,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",474,20,GUILLAUME MORO,M,FRA,6.460,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",899,21,GIAN LUCA ZODDA,M,ITA,6.480,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1250,22,MATTHIAS ERBER,M,AUT,6.640,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1843,23,MICHAEL FINN-HENRY,M,USA,6.660,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1766,24,MAX HAMMER,M,USA,6.680,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",936,25,CRISTIAN DORIGATTI,M,ITA,6.720,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1801,26,JOE GOODACRE,M,USA,6.800,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1511,27,YAROSLAV TKACH,M,UKR,6.850,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",952,28,ALESSANDRO CINGARI,M,ITA,6.870,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1278,29,TOBIAS PLANGGER,M,AUT,6.900,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",885,30,STANISLAO ZAMA,M,ITA,6.990,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",1393,31,PETR BURIAN,M,CZE,7.050,
