Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",105,1,DMITRII TIMOFEEV,RUS,6.050,5.76
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3278,2,ASPAR ASPAR,INA,5.970,6.83
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1480,3,DANYIL BOLDYREV,UKR,6.060,5.73
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2996,4,JINXIN LI,CHN,6.190,5.88
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",7613,5,BASSA MAWEM,FRA,5.900,5.80
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",109,6,ALEKSANDR SHIKOV,RUS,5.910,6.08
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3471,7,REZA ALIPOUR SHENAZANDIFARD,IRI,5.710,7.14
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",74,8,STANISLAV KOKORIN,RUS,6.000,7.59
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3318,9,HINAYAH MUHAMMAD,INA,6.310,6.09
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",865,10,LUDOVICO FOSSALI,ITA,6.380,6.19
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",154,10,ALEKSANDR SHILOV,RUS,6.380,6.19
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2950,12,PENGHUI LIN,CHN,6.380,6.20
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3274,13,SABRI SABRI,INA,6.200,6.22
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",146,14,ARSENII BOGOMOLOV,RUS,6.340,6.25
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3316,15,PANGERAN SEPTO WIBOWO SIBURIAN,INA,6.350,6.93
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",98,16,VLADISLAV DEULIN,RUS,6.080,9.83
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2845,17,MARCIN DZIENSKI,POL,6.390,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2951,17,ZHIYONG OU,CHN,6.390,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1492,17,KOSTIANTYN PAVLENKO,UKR,6.390,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",474,20,GUILLAUME MORO,FRA,6.420,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3258,21,YULIANTO ABUDZAR,INA,6.450,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",856,22,LEONARDO GONTERO,ITA,6.500,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3007,23,RONGQI LIANG,CHN,6.540,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2943,24,GUANGFENG LI,CHN,6.550,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3640,25,PAUL EMMANUEL RYAN,SGP,6.580,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",106,26,ARTEM KHABIBULLIN,RUS,6.660,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3340,27,VEDDRIQ LEONARDO,INA,6.680,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",523,28,MICKAEL MAWEM,FRA,6.810,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2954,29,DICHONG HUANG,CHN,7.060,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2965,30,YURONG DUAN,CHN,7.200,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",861,31,ALESSANDRO SANTONI,ITA,7.290,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",490,32,MANUEL CORNU,FRA,7.350,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2276,33,TOMOA NARASAKI,JPN,7.370,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2309,34,YOSHIYUKI OGATA,JPN,7.800,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2272,35,KOKORO FUJII,JPN,7.830,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3931,36,PHANUPHONG BUNPRAKOP,THA,7.970,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3015,37,XUEBAN YANG,CHN,8.010,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2218,38,CHEUNG-CHI SHOJI CHAN,HKG,8.030,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2334,39,KEITA DOHI,JPN,8.080,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1472,39,SERGII TOPISHKO,UKR,8.080,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",857,41,MICHAEL PICCOLRUAZ,ITA,8.350,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3929,41,WINAI RUANGRIT,THA,8.350,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2332,43,KAI HARADA,JPN,8.440,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3126,44,KIM MARSCHNER,GER,8.540,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3276,44,SUFRIYANTO RINDI,INA,8.540,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2217,46,CHI-FUNG AU,HKG,8.730,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3650,47,TAY KUAN LIANG,SGP,8.750,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3697,48,MOHAMAD KAMAL AMAR HASSAN,SGP,8.890,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3111,49,DAVID FIRNENBURG,GER,9.060,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1559,50,SEAN MCCOLL,CAN,9.180,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",803,51,SERGIO VERDASCO URIZAL,ESP,9.430,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3013,52,YUXU LI,CHN,9.670,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",1558,53,JASON HOLOWACH,CAN,9.850,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",882,54,RICCARDO PIAZZA,ITA,10.020,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",775,55,ERIC LOPEZ MATEOS,ESP,10.220,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2017,56,ALEXANDER AVERDUNK,GER,10.430,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",816,57,SERGIO PASTOR MARTÍNEZ,ESP,10.640,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",2273,58,KEIICHIRO KORENAGA,JPN,10.760,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",797,59,JONATAN FLOR VAZQUEZ,ESP,10.820,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3728,60,GEORGE SANDERS,NZL,10.840,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3651,61,MARK CHAN CHONG KIAT,SGP,11.550,
"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018",3736,62,SAMUEL MUNDAY,NZL,12.950,
