Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",7613,1,BASSA MAWEM,FRA,5.699,5.73
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",98,2,VLADISLAV DEULIN,RUS,5.874,11.54
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3278,3,ASPAR ASPAR,INA,5.838,6.08
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",11414,4,LONG CAO,CHN,5.731,10.00
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",109,5,ALEKSANDR SHIKOV,RUS,6.096,7.12
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",198,6,SERGEI RUKIN,RUS,5.809,7.26
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3471,7,REZA ALIPOUR SHENAZANDIFARD,IRI,5.826,7.58
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",105,8,DMITRII TIMOFEEV,RUS,5.913,FALL
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",154,9,ALEKSANDR SHILOV,RUS,6.207,6.06
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",74,10,STANISLAV KOKORIN,RUS,6.163,6.094
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3362,11,AMIR MAIMURATOV,KAZ,6.083,6.096
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",899,12,GIAN LUCA ZODDA,ITA,6.230,6.31
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",92,13,GEORGY ARTAMONOV,RUS,6.162,6.80
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",865,14,LUDOVICO FOSSALI,ITA,6.157,6.96
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1372,15,JAN KRIZ,CZE,6.222,7.66
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",120,16,LEV RUDATSKIY,RUS,6.138,7.68
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2845,17,MARCIN DZIENSKI,POL,6.236,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3268,18,FATCHUR ROJI,INA,6.242,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",146,19,ARSENII BOGOMOLOV,RUS,6.246,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1801,20,JOE GOODACRE,USA,6.270,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",165,21,NIKOLAI IARILOVETS,RUS,6.284,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3477,22,MEHDI ALIPOUR SHENAZANDIFARD,IRI,6.288,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",523,23,MICKAEL MAWEM,FRA,6.344,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3270,24,ALFIAN MUHAMMAD FAJRI,INA,6.362,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3504,25,EHSAN ASRAR,IRI,6.418,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3211,26,CARLOS GRANJA,ECU,6.544,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",85,27,SERGEI LUZHETSKII,RUS,6.679,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1263,28,LUKAS KNAPP,AUT,6.707,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2334,29,KEITA DOHI,JPN,6.831,
