Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing World Championships - Hachioji (JPN) 2019,865,1,LUDOVICO FOSSALI,ITA,5.970,6.87
IFSC Climbing World Championships - Hachioji (JPN) 2019,1372,2,JAN KRIZ,CZE,6.030,FALL
IFSC Climbing World Championships - Hachioji (JPN) 2019,74,3,STANISLAV KOKORIN,RUS,6.088,5.83
IFSC Climbing World Championships - Hachioji (JPN) 2019,1480,4,DANYIL BOLDYREV,UKR,5.889,5.93
IFSC Climbing World Championships - Hachioji (JPN) 2019,1492,5,KOSTIANTYN PAVLENKO,UKR,5.966,5.86
IFSC Climbing World Championships - Hachioji (JPN) 2019,3471,6,REZA ALIPOUR SHENAZANDIFARD,IRI,5.757,7.24
IFSC Climbing World Championships - Hachioji (JPN) 2019,3361,7,RISHAT KHAIBULLIN,KAZ,6.051,7.61
IFSC Climbing World Championships - Hachioji (JPN) 2019,2929,8,QIXIN ZHONG,CHN,6.086,FALSE START
IFSC Climbing World Championships - Hachioji (JPN) 2019,98,9,VLADISLAV DEULIN,RUS,5.647,5.61
IFSC Climbing World Championships - Hachioji (JPN) 2019,2951,10,ZHIYONG OU,CHN,6.011,6.07
IFSC Climbing World Championships - Hachioji (JPN) 2019,105,11,DMITRII TIMOFEEV,RUS,5.542,6.15
IFSC Climbing World Championships - Hachioji (JPN) 2019,11414,12,LONG CAO,CHN,5.790,6.44
IFSC Climbing World Championships - Hachioji (JPN) 2019,7613,13,BASSA MAWEM,FRA,5.730,7.47
IFSC Climbing World Championships - Hachioji (JPN) 2019,1754,14,JOHN BROSLER,USA,6.051,9.38
IFSC Climbing World Championships - Hachioji (JPN) 2019,3362,15,AMIR MAIMURATOV,KAZ,5.937,FALL
IFSC Climbing World Championships - Hachioji (JPN) 2019,198,16,SERGEI RUKIN,RUS,5.959,FALL
IFSC Climbing World Championships - Hachioji (JPN) 2019,3477,17,MEHDI ALIPOUR SHENAZANDIFARD,IRI,6.115,
IFSC Climbing World Championships - Hachioji (JPN) 2019,899,18,GIAN LUCA ZODDA,ITA,6.133,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2845,19,MARCIN DZIENSKI,POL,6.165,
IFSC Climbing World Championships - Hachioji (JPN) 2019,3211,20,CARLOS GRANJA,ECU,6.209,
IFSC Climbing World Championships - Hachioji (JPN) 2019,523,21,MICKAEL MAWEM,FRA,6.280,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2276,22,TOMOA NARASAKI,JPN,6.292,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2958,23,ZHAXI BIANBA,CHN,6.351,
IFSC Climbing World Championships - Hachioji (JPN) 2019,109,24,ALEKSANDR SHIKOV,RUS,6.351,
IFSC Climbing World Championships - Hachioji (JPN) 2019,1801,25,JOE GOODACRE,USA,6.416,
IFSC Climbing World Championships - Hachioji (JPN) 2019,165,26,NIKOLAI IARILOVETS,RUS,6.458,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2218,27,CHEUNG-CHI SHOJI CHAN,HKG,6.487,
IFSC Climbing World Championships - Hachioji (JPN) 2019,3213,28,DANNY VALENCIA,ECU,6.628,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2272,29,KOKORO FUJII,JPN,6.640,
IFSC Climbing World Championships - Hachioji (JPN) 2019,857,30,MICHAEL PICCOLRUAZ,ITA,6.827,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2947,31,YUFEI PAN,CHN,6.828,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2332,32,KAI HARADA,JPN,6.887,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2052,33,JONGWON CHON,KOR,6.932,
IFSC Climbing World Championships - Hachioji (JPN) 2019,1778,34,NATHANIEL COLEMAN,USA,6.933,
IFSC Climbing World Championships - Hachioji (JPN) 2019,3422,35,JAN HOJER,GER,6.943,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2631,36,SINGH ADARSH,IND,6.984,
IFSC Climbing World Championships - Hachioji (JPN) 2019,1559,37,SEAN MCCOLL,CAN,6.997,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2307,38,MEICHI NARASAKI,JPN,7.042,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2334,39,KEITA DOHI,JPN,7.123,
IFSC Climbing World Championships - Hachioji (JPN) 2019,648,40,WILLIAM BOSI,GBR,7.309,
IFSC Climbing World Championships - Hachioji (JPN) 2019,490,41,MANUEL CORNU,FRA,7.333,
IFSC Climbing World Championships - Hachioji (JPN) 2019,320,42,NICOLAS COLLIN,BEL,7.354,
IFSC Climbing World Championships - Hachioji (JPN) 2019,3141,43,FELIPE HO FOGANHOLO,BRA,7.360,
IFSC Climbing World Championships - Hachioji (JPN) 2019,855,44,STEFANO GHISOLFI,ITA,7.364,
IFSC Climbing World Championships - Hachioji (JPN) 2019,811,45,ALBERTO GINÉS LÓPEZ,ESP,7.397,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2041,46,HANWOOL KIM,KOR,7.430,
IFSC Climbing World Championships - Hachioji (JPN) 2019,1773,47,RUDOLPH RUANA,USA,7.441,
IFSC Climbing World Championships - Hachioji (JPN) 2019,4299,48,SASCHA LEHMANN,SUI,7.475,
IFSC Climbing World Championships - Hachioji (JPN) 2019,3929,49,WINAI RUANGRIT,THA,7.553,
IFSC Climbing World Championships - Hachioji (JPN) 2019,1124,50,JERNEJ KRUDER,SLO,7.569,
IFSC Climbing World Championships - Hachioji (JPN) 2019,645,51,WILLIAM RIDAL,GBR,7.610,
IFSC Climbing World Championships - Hachioji (JPN) 2019,793,52,MIKEL ASIER LINACISORO MOLINA,ESP,7.657,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2101,53,DOHYUN LEE,KOR,7.661,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2217,54,CHI-FUNG AU,HKG,7.678,
IFSC Climbing World Championships - Hachioji (JPN) 2019,854,55,MARCELLO BOMBARDI,ITA,7.707,
IFSC Climbing World Championships - Hachioji (JPN) 2019,3131,56,YANNICK FLOHÉ,GER,7.752,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2649,57,CHINGKHEINGANBA MAIBAM,IND,7.830,
IFSC Climbing World Championships - Hachioji (JPN) 2019,1364,58,ADAM ONDRA,CZE,7.867,
IFSC Climbing World Championships - Hachioji (JPN) 2019,1214,59,JAKOB SCHUBERT,AUT,7.940,
IFSC Climbing World Championships - Hachioji (JPN) 2019,3983,60,ALEX KHAZANOV,ISR,7.972,
IFSC Climbing World Championships - Hachioji (JPN) 2019,2033,61,JABEE KIM,KOR,7.974,
IFSC Climbing World Championships - Hachioji (JPN) 2019,1052,62,CALRIN CURTIS,RSA,7.981,
IFSC Climbing World Championships - Hachioji (JPN) 2019,3939,63,SIRAPOB JIRAJATURAPAK,THA,7.998,
