Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",105,1,DMITRII TIMOFEEV,M,RUS,5.683,5.59
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",7613,2,BASSA MAWEM,M,FRA,5.769,5.81
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",865,3,LUDOVICO FOSSALI,M,ITA,6.182,5.85
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3471,4,REZA ALIPOUR SHENAZANDIFARD,M,IRI,5.657,6.43
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",98,5,VLADISLAV DEULIN,M,RUS,5.932,5.843
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1492,6,KOSTIANTYN PAVLENKO,M,UKR,5.964,5.848
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1372,7,JAN KRIZ,M,CZE,6.059,5.92
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",2962,8,ZHIXING CHEN,M,CHN,5.820,8.27
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3268,9,FATCHUR ROJI,M,INA,6.112,6.00
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3270,10,ALFIAN MUHAMMAD FAJRI,M,INA,5.812,6.06
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",2950,11,PENGHUI LIN,M,CHN,6.028,6.11
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",146,12,ARSENII BOGOMOLOV,M,RUS,6.053,6.12
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",2845,13,MARCIN DZIENSKI,M,POL,6.179,6.20
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",154,14,ALEKSANDR SHILOV,M,RUS,6.138,6.44
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3278,15,ASPAR ASPAR,M,INA,5.598,7.09
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",2951,16,ZHIYONG OU,M,CHN,6.054,8.35
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",1754,17,JOHN BROSLER,M,USA,6.225,
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",899,18,GIAN LUCA ZODDA,M,ITA,6.227,
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",3211,19,CARLOS GRANJA,M,ECU,6.251,
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",11460,20,JINBAO LONG,M,CHN,6.296,
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",11409,21,LIANG ZHANG,M,CHN,6.319,
"IFSC Climbing Worldcup (B,S) - Wujiang (CHN) 2019",85,22,SERGEI LUZHETSKII,M,RUS,6.523,
