Event,ID,Rank,Name,Country,Qualification,Final
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1480,1,DANYIL BOLDYREV,UKR,5.80,5.73
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",11701,2,ERIK NOYA CARDONA,ESP,5.817,5.95
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1798,3,NOAH BRATSCHI,USA,5.791,6.31
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",474,4,GUILLAUME MORO,FRA,5.85,8.46
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1278,5,TOBIAS PLANGGER,AUT,5.945,5.98
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1754,6,JOHN BROSLER,USA,5.76,FALL
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3361,7,RISHAT KHAIBULLIN,KAZ,5.946,FALL
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",98,8,VLADISLAV DEULIN,CFR,5.74,FALL
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3471,9,REZA ALIPOUR SHENAZANDIFARD,IRI,5.797,5.75
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2845,10,MARCIN DZIENSKI,POL,5.71,5.83
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",899,11,GIAN LUCA ZODDA,ITA,5.814,5.849
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3362,12,AMIR MAIMURATOV,KAZ,5.84,5.91
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",146,13,ARSENII BOGOMOLOV,CFR,5.77,6.07
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",494,14,PIERRE REBREYEND,FRA,5.90,6.17
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",105,15,DMITRII TIMOFEEV,CFR,5.72,FALL
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",109,16,ALEKSANDR SHIKOV,CFR,5.89,FALL
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",1492,17,KOSTIANTYN PAVLENKO,UKR,5.96,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",865,18,LUDOVICO FOSSALI,ITA,5.98,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3211,19,CARLOS GRANJA,ECU,5.99,
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",3551,20,MILAD ALIPOUR SHENAZANDIFAR,IRI,6.04,
