Event,ID,Rank,Name,Country,Qualification,Final
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3340,1,VEDDRIQ LEONARDO,INA,5.28,6.33
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1278,2,TOBIAS PLANGGER,AUT,5.826,FALL
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",865,3,LUDOVICO FOSSALI,ITA,5.68,5.49
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2845,4,MARCIN DZIENSKI,POL,5.732,5.56
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3324,5,KIROMAL KATIBIN,INA,5.10 (WR) (ASR),FALL
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1754,6,JOHN BROSLER,USA,5.57,6.74
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",11701,7,ERIK NOYA CARDONA,ESP,5.67,5.66
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",13034,8,SAMUEL WATSON,USA,5.739,6.10
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2099,9,EUNCHEOL SHIN,KOR,5.58,5.68
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",13153,10,YONGJUN JUNG,KOR,5.71,5.84
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2069,11,SEUNGBEOM LEE,KOR,5.737,5.70
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",474,12,GUILLAUME MORO,FRA,5.74,5.61
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3362,13,AMIR MAIMURATOV,KAZ,5.76,8.41
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",494,14,PIERRE REBREYEND,FRA,5.827,5.66
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",11893,15,ETHAN PITCHER,CAN,5.83,5.90
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",11602,16,SEBASTIAN LUCKE,GER,5.87,FALL
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3211,17,CARLOS GRANJA,ECU,5.89,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",13043,18,SHUTO FUJINO,JPN,5.90,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",899,19,GIAN LUCA ZODDA,ITA,5.92,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1908,20,MERRITT ERNSBERGER,USA,6.00,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2391,21,YUDAI IKEDA,JPN,6.125,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3208,22,ISAAC ESTEVEZ,ECU,6.129,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",613,23,YANN LE CLERCQ DE LANNOY,FRA,6.13,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",3220,24,NICKOLAIE RIVADENEIRA,ECU,6.25,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",13555,25,MINSOO PARK,KOR,6.28,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",13155,26,TAEUNG MOON,KOR,6.30,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",13550,27,MICAH LISS,USA,6.32,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",1801,28,JOE GOODACRE,USA,6.33,
