Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3340,1,VEDDRIQ LEONARDO,M,INA,4.98 (WR) (ASR),5.01
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11460,2,JINBAO LONG,M,CHN,5.40,5.12
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",14416,3,XINSHANG WANG,M,CHN,5.17,5.11
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11395,4,JIANGUO LONG,M,CHN,5.130,6.37
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2099,5,EUNCHEOL SHIN,M,KOR,5.131,8.69 (5.131)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13598,6,PENG WU,M,CHN,5.231,6.13 (5.198)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3278,7,ASPAR ASPAR,M,INA,5.22,5.24 (5.220)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1027,8,MATTEO ZURLONI,M,ITA,5.230 (ER),8.04 (5.230)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13034,9,SAMUEL WATSON,M,USA,5.02 (PAR),5.42 (5.29)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11415,10,RAHMAD ADI MULYONO,M,INA,5.239,5.29 (5.239)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",865,11,LUDOVICO FOSSALI,M,ITA,5.31,5.25
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1754,12,JOHN BROSLER,M,USA,5.28,7.16 (5.285)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1511,13,YAROSLAV TKACH,M,UKR,5.35,5.37 (5.350)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3362,14,AMIR MAIMURATOV,M,KAZ,5.38,FALSE START (5.380)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11938,15,MINHUI WANG,M,CHN,5.39,5.62 (5.394)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",7613,16,BASSA MAWEM,M,FRA,5.43,5.59 (5.431)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",12317,17,JUN YASUKAWA,M,JPN,5.450,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2069,18,SEUNGBEOM LEE,M,KOR,5.458,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2076,19,YONGSU LEE,M,KOR,5.48,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11175,20,ZAENAL ARIPIN,M,INA,5.53,
