Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",3340,1,VEDDRIQ LEONARDO,M,INA,5.08,4.95
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13598,2,PENG WU,M,CHN,5.38,6.99
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",3324,3,KIROMAL KATIBIN,M,INA,5.21,4.98
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13034,4,SAMUEL WATSON,M,USA,5.15,5.98
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11395,5,JIANGUO LONG,M,CHN,5.26,5.08 (5.83)
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",7613,6,BASSA MAWEM,M,FRA,5.36,5.30
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11460,7,JINBAO LONG,M,CHN,5.42,7.00 (5.420)
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",494,8,PIERRE REBREYEND,M,FRA,5.47,5.57 (5.476)
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11415,9,RAHMAD ADI MULYONO,M,INA,5.14,FALSE START (5.148)
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",865,10,LUDOVICO FOSSALI,M,ITA,5.463,5.20
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",3278,11,ASPAR ASPAR,M,INA,5.33,FALSE START (5.335)
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11409,12,LIANG ZHANG,M,CHN,5.353,FALL (5.353)
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",1027,13,MATTEO ZURLONI,M,ITA,5.357,FALL (5.357)
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",3270,14,ALFIAN MUHAMMAD FAJRI,M,INA,5.464,5.45
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",14416,15,XINSHANG WANG,M,CHN,5.461,5.45
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",1754,16,JOHN BROSLER,M,USA,5.48,8.49 (5.483)
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11381,17,RYO OMASA,M,JPN,5.49,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",3362,18,AMIR MAIMURATOV,M,KAZ,5.50,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13153,19,YONGJUN JUNG,M,KOR,5.56,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",1908,20,MERRITT ERNSBERGER,M,USA,5.57 (5.585),
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",3211,21,CARLOS GRANJA,M,ECU,5.57 (5.645),
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",474,22,GUILLAUME MORO,M,FRA,5.58,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",1843,23,MICHAEL FINN-HENRY,M,CAN,5.59,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11701,24,ERIK NOYA CARDONA,M,ESP,5.61 (5.703),
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",1492,25,KOSTIANTYN PAVLENKO,M,UKR,5.61 (5.734),
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",1798,26,NOAH BRATSCHI,M,USA,5.62,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11938,27,MINHUI WANG,M,CHN,5.65,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",3208,28,ISAAC ESTEVEZ,M,ECU,5.676,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",2845,29,MARCIN DZIENSKI,M,POL,5.677,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",6283,30,ALESSANDRO BOULOS,M,ITA,5.76,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13033,31,RICHARD LI,M,USA,5.78,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",1263,32,LUKAS KNAPP,M,AUT,5.79,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",11175,33,ZAINAL ARIPIN,M,INA,5.81,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",2076,34,YONGSU LEE,M,KOR,5.82,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",1511,35,YAROSLAV TKACH,M,UKR,5.83,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13703,36,KEVIN AMON,M,AUT,5.902,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2023",13999,37,KAZUKI TANII,M,JPN,5.905,
