Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,46,1,ANNA STENKOVAYA,RUS,32.090,32.80
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,2834,2,EDYTA ROPEK,POL,33.050,FALL
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,1474,3,SVITLANA TUZHYLINA,UKR,35.680,29.17
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,2847,4,KLAUDIA BUCZEK,POL,37.670,32.92
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,4735,5,KSENIIA ALEKSEEVA,RUS,38.620,33.42
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,62,6,ALINA GAIDAMAKINA,RUS,39.290,34.12
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,45,7,VALENTINA YURINA,RUS,38.900,34.61
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,4737,8,EKATERINA BOYARSKIKH,RUS,45.230,36.83
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,1468,9,OLENA RYEPKO,UKR,40.120,36.72
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,4741,10,ANASTASIYA SAVISKO,UKR,39.180,37.63
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,81,11,YULIYA LEVOCHKINA,RUS,45.660,38.22
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,2842,12,MONIKA PROKOPIUK-KAWECKA,POL,40.470,39.77
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,4740,13,OLEKSANDRA BUD GUSAIM,UKR,40.710,40.17
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,5971,14,KATARZYNA WICHA,POL,45.520,42.58
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,2843,15,KARINA MIROSLAW,POL,46.040,44.44
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,3178,16,LUCELIA BLANCO,VEN,35.720,FALL
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,5861,17,KATARZYNA MIROSLAW,POL,48.240,
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,4932,18,MALGORZATA RUDZINSKA,POL,49.030,
IFSC Climbing Worldcup (S) - Tarnow (POL) 2009,5509,19,RADIANA MANEVA,BUL,58.530,
