Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,81,1,YULIYA LEVOCHKINA,RUS,11.530,10.43
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4735,2,KSENIIA ALEKSEEVA,RUS,11.510,12.64
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,2834,3,EDYTA ROPEK,POL,12.280,10.93
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4736,4,OLGA EVSTIGNEEVA,RUS,11.810,12.57
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,3178,5,LUCELIA BLANCO,VEN,12.130,11.73
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4737,6,EKATERINA BOYARSKIKH,RUS,12.800,12.69
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4738,7,SARA MORANDI,ITA,12.410,13.42
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4739,8,OLENA SHEREMETYEVA,UKR,12.700,FALL
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4740,9,OLEKSANDRA BUD GUSAIM,UKR,13.100,
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4741,10,ANASTASIYA SAVISKO,UKR,13.280,
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4742,11,JESSICA MORANDI,ITA,13.310,
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,4743,12,ANNA KOLOKOVSKA,UKR,13.680,
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,1468,13,OLENA RYEPKO,UKR,13.970,
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,2843,14,KARINA MIROSLAW,POL,14.150,
IFSC Climbing Worldcup (S) - Trento (ITA) 2010,2842,15,MONIKA PROKOPIUK-KAWECKA,POL,14.290,
