Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",82,1,MARIIA KRASAVINA,RUS,9.320,8.89
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",4735,2,KSENIIA ALEKSEEVA,RUS,10.160,13.09
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",81,3,YULIYA LEVOCHKINA,RUS,10.150,9.42
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",3257,4,EVI NELIWATI,INA,10.320,10.13
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",2930,5,CUILIAN HE,CHN,9.860,9.68
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",2834,6,EDYTA ROPEK,POL,10.130,9.72
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",62,7,ALINA GAIDAMAKINA,RUS,9.840,9.92
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",2139,8,HUNG YING LEE,TPE,10.720,FALL
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",3357,9,TAMARA ULZHABAYEVA,KAZ,10.730,10.60
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",2933,10,XUHUA PAN,CHN,11.090,10.76
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",4984,11,YANG WANG,CHN,11.710,10.92
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",2940,12,WANGMU RENZENG,CHN,12.170,11.42
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",2936,13,LAMU RENQING,CHN,12.280,11.78
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",73,14,ANNA TSYGANOVA,RUS,10.630,12.13
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",4986,15,WANGMU GESANG,CHN,12.400,12.29
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",3275,16,SUPITA TITA,INA,11.610,13.77
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",3260,17,SANTI WELLYANTI,INA,12.480,
"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",2935,18,RONG JIANG,CHN,13.650,
