Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2848,1,ALEKSANDRA MIROSLAW,POL,9.027,8.99
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",62,2,ALINA GAIDAMAKINA,RUS,9.413,9.19
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",40,3,NATALIA TITOVA,RUS,9.639,9.40
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",81,4,YULIYA LEVOCHKINA,RUS,8.533,10.63
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",458,5,ESTHER BRUCKNER,FRA,9.735,9.26
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",73,6,ANNA TSYGANOVA,RUS,9.471,10.62
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",479,7,ANOUCK JAUBERT,FRA,8.971,11.26
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2834,8,EDYTA ROPEK,POL,9.311,FALL
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",4741,9,ANASTASIYA SAVISKO,UKR,10.140,9.66
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",82,10,MARIIA KRASAVINA,RUS,10.044,9.90
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",63,11,KSENIYA POLEKHINA,RUS,9.778,9.93
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1218,12,STEFANIE PICHLER,AUT,9.836,10.06
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2847,13,KLAUDIA BUCZEK,POL,10.553,10.38
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",77,14,NATALIIA STEPANOVA,RUS,10.759,10.51
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1230,15,ALEXANDRA ELMER,AUT,10.642,10.62
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",452,16,MARGOT HEITZ,FRA,9.664,11.96
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",45,17,VALENTINA YURINA,RUS,10.896,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",110,18,IULIIA KAPLINA,RUS,10.907,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2842,19,MONIKA PROKOPIUK-KAWECKA,POL,11.025,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1233,20,NINA LACH,AUT,11.704,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",6180,21,JACQUELYN WU,USA,11.905,
"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",1373,22,EVA KRIZOVA,CZE,14.781,
