Event,ID,Rank,Name,Gender,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,110,1,IULIIA KAPLINA,F,RUS,8.590,8.08
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,62,2,ALINA GAIDAMAKINA,F,RUS,8.630,8.27
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,2848,3,ALEKSANDRA MIROSLAW,F,POL,9.080,8.64
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,452,4,MARGOT HEITZ,F,FRA,9.200,9.69
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,2847,5,KLAUDIA BUCZEK,F,POL,9.190,9.17
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,479,6,ANOUCK JAUBERT,F,FRA,9.490,9.24
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,82,7,MARIIA KRASAVINA,F,RUS,8.830,10.08
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,81,8,YULIYA LEVOCHKINA,F,RUS,9.270,11.44
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,4741,9,ANASTASIYA SAVISKO,F,UKR,9.700,9.27
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,3357,10,TAMARA ULZHABAYEVA,F,KAZ,9.840,9.53
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,1493,11,ALLA MARENYCH,F,UKR,9.880,9.68
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,94,12,ANASTASIIA GOLIKOVA,F,RUS,9.820,10.03
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,1218,13,STEFANIE PICHLER,F,AUT,9.820,10.06
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,1230,14,ALEXANDRA ELMER,F,AUT,10.090,10.40
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,2855,15,ANNA BROZEK,F,POL,11.090,11.26
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,5782,16,ALIYA ISKAKOVA,F,KAZ,15.070,15.52
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,6161,17,KONUL HUSEYNOVA,F,AZE,27.980,
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,6162,18,AYSEL SULTANOVA,F,AZE,40.870,
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,6253,19,DIANA VADIM HANINA,F,AZE,45.330,
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,6254,20,SIMA SEFEROVA,F,AZE,48.350,
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,6255,21,REYHAN MAMMADOVA,F,AZE,57.810,
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,6256,22,AYTEN PIRALIYEVA,F,AZE,FALL,
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,2842,22,MONIKA PROKOPIUK-KAWECKA,F,POL,FALL,
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,6257,22,SEMS QULIYEVA,F,AZE,FALL,
IFSC Climbing Worldcup (S) - Baku (AZE) 2013,6258,22,SAFAROVA SIMA,F,AZE,FALL,
