Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,62,1,ALINA GAIDAMAKINA,RUS,8.540,8.24
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2848,2,ALEKSANDRA MIROSLAW,POL,8.780,8.54
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,82,3,MARIIA KRASAVINA,RUS,8.870,8.32
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,110,4,IULIIA KAPLINA,RUS,8.890,FALL
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,479,5,ANOUCK JAUBERT,FRA,8.970,8.79
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,81,6,YULIYA LEVOCHKINA,RUS,9.480,8.82
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,3275,7,SUPITA TITA,INA,9.370,9.27
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,1493,8,ALLA MARENYCH,UKR,9.900,9.88
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,4741,9,ANASTASIYA SAVISKO,UKR,9.950,9.52
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,3464,10,FARNAZ ESMAEILZADEH,IRI,9.750,9.92
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2842,11,MONIKA PROKOPIUK-KAWECKA,POL,10.110,9.98
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,452,12,MARGOT HEITZ,FRA,9.540,10.46
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2834,13,EDYTA ROPEK,POL,9.920,10.50
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2847,14,KLAUDIA BUCZEK,POL,9.020,10.53
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2930,15,CUILIAN HE,CHN,11.090,12.76
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2933,16,XUHUA PAN,CHN,11.380,FALL
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2936,17,LAMU RENQING,CHN,12.450,
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2940,18,WANGMU RENZENG,CHN,13.810,
IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2267,19,RISA OTA,JPN,27.430,
