Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,479,1,ANOUCK JAUBERT,FRA,8.280,7.95
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,81,2,YULIYA LEVOCHKINA,RUS,8.390,8.39
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,82,3,MARIIA KRASAVINA,RUS,8.050,8.11
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,2857,4,PATRYCJA CHUDZIAK,POL,9.720,8.84
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,1493,5,ALLA MARENYCH,UKR,8.820,8.52
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,2842,6,MONIKA PROKOPIUK-KAWECKA,POL,9.280,8.90
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,73,7,ANNA TSYGANOVA,RUS,8.440,11.39
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,1491,8,YANA LUGOVENKO,UKR,8.980,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,2834,9,EDYTA ROPEK,POL,8.440,9.27
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,1230,10,ALEXANDRA ELMER,AUT,9.610,9.32
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,119,11,SVETLANA MOTOVILOVA,RUS,9.670,9.35
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,1233,12,NINA LACH,AUT,9.540,9.50
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,62,13,ALINA GAIDAMAKINA,RUS,8.530,9.93
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,2855,14,ANNA BROZEK,POL,10.010,9.99
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,110,15,IULIIA KAPLINA,RUS,8.110,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,2848,16,ALEKSANDRA MIROSLAW,POL,8.480,FALL
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,1488,17,MARGARYTA ZAKHAROVA,UKR,10.020,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,2847,18,KLAUDIA BUCZEK,POL,10.390,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,1752,19,GRACE MCKEEHAN,USA,10.740,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,4743,20,ANNA KOLOKOVSKA,UKR,10.840,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,6357,21,ERIKA MATTIOLI,ITA,10.990,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,6358,22,MARGARITA MARSANOVA,USA,11.070,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,3209,23,ANDREA ROJAS,ECU,11.320,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,915,24,GIORGIA RANDI,ITA,11.430,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,6359,25,NICOLE MEJIA,ECU,11.450,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,6360,26,TERESA GALLUCCI,ITA,12.210,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,1739,27,MARISA ROMERO,USA,12.240,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,890,28,GINEVRA CASELLATO,ITA,13.470,
IFSC Climbing Worldcup (S) - Arco (ITA) 2014,6094,29,CAROLINA ROSERO,ECU,16.610,
