Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",110,1,IULIIA KAPLINA,RUS,8.056,7.87
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",479,2,ANOUCK JAUBERT,FRA,9.261,7.97
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2857,3,PATRYCJA CHUDZIAK,POL,8.807,8.93
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2847,4,KLAUDIA BUCZEK,POL,8.687,FALL
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2842,5,MONIKA PROKOPIUK-KAWECKA,POL,11.353,9.38
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",82,6,MARIIA KRASAVINA,RUS,8.370,9.45
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",1493,7,ALLA MARENYCH,UKR,8.753,10.61
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2834,8,EDYTA ROPEK,POL,8.845,FALL
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",3928,9,PRATTHANA RAKSACHAT,THA,11.959,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",2067,10,JIYEON JEON,KOR,14.134,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",3925,11,PUNTARIKA TUNYAVANICH,THA,14.683,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",3927,12,PANKAEW PLYPOOLSUP,THA,15.912,
"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014",3926,13,WATCHAREEWAN TOMAS,THA,16.334,
