Event,ID,Rank,Name,Country,Qualification,Final
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,110,1,IULIIA KAPLINA,RUS,7.900,7.82
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,82,2,MARIIA KRASAVINA,RUS,8.130,8.71
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,73,3,ANNA TSYGANOVA,RUS,8.630,8.03
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,479,4,ANOUCK JAUBERT,FRA,7.980,11.27
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,2848,5,ALEKSANDRA MIROSLAW,POL,8.770,8.64
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,2847,6,KLAUDIA BUCZEK,POL,8.680,8.72
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,3464,7,FARNAZ ESMAEILZADEH,IRI,9.130,9.00
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,2857,8,PATRYCJA CHUDZIAK,POL,8.730,10.84
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,2834,9,EDYTA ROPEK,POL,9.320,8.73
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,2842,10,MONIKA PROKOPIUK-KAWECKA,POL,9.470,8.96
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,1761,11,ERICA MEISTER,USA,10.080,10.46
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,488,12,AURELIA SARISSON,FRA,8.820,11.14
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,1569,13,ALISON STEWART-PATTERSON,CAN,10.830,11.21
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,1775,14,SIDNEY TRINIDAD,USA,10.460,11.47
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,6375,15,ELENA MOSS,CAN,13.140,13.13
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,6376,16,MAGGY DUBE-LAROCHE,CAN,13.690,FALL
IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,6377,17,EVELYNA TROTTIER,CAN,17.150,
