Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",110,1,IULIIA KAPLINA,RUS,8.470,8.63
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2847,2,KLAUDIA BUCZEK,POL,8.770,10.16
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2848,3,ALEKSANDRA MIROSLAW,POL,9.620,10.38
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3277,4,PURNAMASARI ITA TRIANA,INA,9.560,10.41
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",479,5,ANOUCK JAUBERT,FRA,8.520,8.31
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2834,6,EDYTA ROPEK,POL,8.920,9.19
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1493,7,ALLA MARENYCH,UKR,9.610,9.38
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",73,8,ANNA TSYGANOVA,RUS,8.400,9.68
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",488,9,AURELIA SARISSON,FRA,8.990,8.82
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1233,10,NINA LACH,AUT,9.280,9.28
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1218,11,STEFANIE PICHLER,AUT,9.940,9.72
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",3303,12,SYAFIIYAH DHORIFATUS,INA,10.360,9.90
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",1230,13,ALEXANDRA ELMER,AUT,10.020,9.92
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2855,14,ANNA BROZEK,POL,9.320,9.95
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2930,15,CUILIAN HE,CHN,10.510,10.13
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2963,16,PEIYANG TIAN,CHN,11.320,14.05
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2936,17,LAMU RENQING,CHN,13.620,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2281,18,MIWA OBA,JPN,FALL,
"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2946,18,ZHUOMA PUBU,CHN,FALSE START,
