Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",479,1,ANOUCK JAUBERT,F,FRA,7.820,8.27
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",2848,2,ALEKSANDRA MIROSLAW,F,POL,8.320,FALL
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",73,3,ANNA TSYGANOVA,F,RUS,8.450,8.39
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",2847,4,KLAUDIA BUCZEK,F,POL,8.550,9.11
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",2834,5,EDYTA ROPEK,F,POL,8.610,8.33
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",129,6,ELIZAVETA IVANOVA,F,RUS,9.070,9.05
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",511,7,VICTOIRE ANDRIER,F,FRA,9.220,9.31
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",1233,8,NINA LACH,F,AUT,9.080,10.48
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",112,9,DARIA KAN,F,RUS,9.120,9.06
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",2855,10,ANNA BROZEK,F,POL,9.220,9.25
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",119,11,SVETLANA MOTOVILOVA,F,RUS,9.200,9.29
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",1493,12,ALLA MARENYCH,F,UKR,9.310,9.37
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",2857,13,PATRYCJA CHUDZIAK,F,POL,9.320,9.39
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",510,14,ELMA FLEURET,F,FRA,8.670,9.74
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",488,15,AURELIA SARISSON,F,FRA,8.700,11.22
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",117,16,ELENA TIMOFEEVA,F,RUS,8.470,FALL
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",1761,17,ERICA MEISTER,F,USA,9.420,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",2842,18,MONIKA PROKOPIUK-KAWECKA,F,POL,9.510,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",1230,19,ALEXANDRA ELMER,F,AUT,9.770,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",3209,20,ANDREA ROJAS,F,ECU,9.890,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",1218,21,STEFANIE PICHLER,F,AUT,9.950,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",935,22,ELISABETTA DALLA BRIDA,F,ITA,9.960,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",897,23,GIULIA FOSSALI,F,ITA,10.470,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",898,24,SILVIA PORTA,F,ITA,10.510,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",110,25,IULIIA KAPLINA,F,RUS,11.170,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",915,26,GIORGIA RANDI,F,ITA,11.450,
"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",445,27,CHARLOTTE DURIF,F,FRA,11.470,
