Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",479,1,ANOUCK JAUBERT,F,FRA,7.900,WILDCARD
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",110,2,IULIIA KAPLINA,F,RUS,7.840,FALSE START
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",73,3,ANNA TSYGANOVA,F,RUS,8.300,7.91
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",2855,4,ANNA BROZEK,F,POL,8.420,FALL
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",488,5,AURELIA SARISSON,F,FRA,8.400,8.80
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",3209,6,ANDREA ROJAS,F,ECU,9.030,8.89
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",2834,7,EDYTA ROPEK,F,POL,8.690,8.98
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",117,8,ELENA TIMOFEEVA,F,RUS,8.590,WILDCARD
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",2847,9,KLAUDIA BUCZEK,F,POL,8.840,8.89
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1493,10,ALLA MARENYCH,F,UKR,8.880,9.21
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",3464,11,FARNAZ ESMAEILZADEH,F,IRI,9.240,9.23
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",82,12,MARIIA KRASAVINA,F,RUS,8.040,9.68
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",898,13,SILVIA PORTA,F,ITA,9.330,12.12
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",2857,14,PATRYCJA CHUDZIAK,F,POL,8.570,FALL
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",935,15,ELISABETTA DALLA BRIDA,F,ITA,8.600,FALSE START
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",511,16,VICTOIRE ANDRIER,F,FRA,8.780,FALL
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",510,17,ELMA FLEURET,F,FRA,9.660,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1233,18,NINA LACH,F,AUT,9.750,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",94,19,ANASTASIIA GOLIKOVA,F,RUS,9.770,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",903,20,MARTINA ZANETTI,F,ITA,9.800,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1230,21,ALEXANDRA ELMER,F,AUT,9.920,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",915,22,GIORGIA RANDI,F,ITA,9.970,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1751,23,CLAIRE BUHRFEIND,F,USA,10.010,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",934,24,FRANCESCA VASI,F,ITA,10.180,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",931,25,SARA MORANDINI,F,ITA,10.370,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",2867,26,NATALIA WOS,F,POL,10.410,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1750,27,KYRA CONDIE,F,USA,10.720,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",2842,28,MONIKA PROKOPIUK-KAWECKA,F,POL,10.760,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1484,29,ANASTASIYA ZAICHENKO,F,UKR,10.780,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",932,30,ALESSANDRA ZANETTI,F,ITA,10.860,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1811,31,BROOKE RABOUTOU,F,USA,10.950,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",3478,32,KOBRA LAKZAIIFAR,F,IRI,11.020,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",910,33,GIULIA MEDICI,F,ITA,11.540,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1803,34,NATALIA GROSSMAN,F,USA,12.060,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1907,35,GRACE DIGIORGIO,F,USA,12.190,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1812,36,ASHIMA SHIRAISHI,F,USA,12.260,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",3218,37,EMILY GONZALEZ,F,ECU,13.040,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",914,38,GIORGIA TESIO,F,ITA,13.320,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",802,39,RUT CASAS MUR,F,ESP,13.930,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",3219,40,ALISSON VIZUETE,F,ECU,14.290,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",3161,41,VALENTINA AGUADO,F,ARG,14.880,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",3164,42,VICTORIA GIMENEZ,F,ARG,19.220,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",3911,43,ALEJANDRA CONTRERAS,F,CHI,FALSE START,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",1739,43,MARISA ROMERO,F,USA,FALSE START,
"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",800,43,MURIEL RUÍZ DE LARRAMENDI ARANGOA,F,ESP,FALL,
