Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",479,1,ANOUCK JAUBERT,F,FRA,7.890,8.22
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",110,2,IULIIA KAPLINA,F,RUS,7.670,8.80
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",82,3,MARIIA KRASAVINA,F,RUS,8.330,8.46
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",129,4,ELIZAVETA IVANOVA,F,RUS,8.190,8.73
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",73,5,ANNA TSYGANOVA,F,RUS,8.410,8.17
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",511,6,VICTOIRE ANDRIER,F,FRA,8.650,8.68
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",197,7,ELENA REMIZOVA,F,RUS,8.460,FALL
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2855,8,ANNA BROZEK,F,POL,8.440,FALSE START
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2834,9,EDYTA ROPEK,F,POL,8.720,8.44
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2857,10,PATRYCJA CHUDZIAK,F,POL,8.780,8.59
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3279,11,PUJI LESTARI,F,INA,8.810,8.79
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1493,12,ALLA MARENYCH,F,UKR,8.550,8.97
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",488,13,AURELIA SARISSON,F,FRA,8.720,9.00
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",211,14,SVETLANA SHAROVA,F,RUS,8.840,10.00
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",119,15,SVETLANA MOTOVILOVA,F,RUS,8.830,11.33
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",112,16,DARIA KAN,F,RUS,8.750,FALSE START
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2847,17,KLAUDIA BUCZEK,F,POL,8.870,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",935,18,ELISABETTA DALLA BRIDA,F,ITA,8.990,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3317,18,FARINA HANDAYANI,F,INA,8.990,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3303,20,SYAFIIYAH DHORIFATUS,F,INA,9.220,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",510,21,ELMA FLEURET,F,FRA,9.270,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1233,21,NINA LACH,F,AUT,9.270,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1230,23,ALEXANDRA ELMER,F,AUT,9.320,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3209,24,ANDREA ROJAS,F,ECU,9.350,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",117,25,ELENA TIMOFEEVA,F,RUS,9.370,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",934,26,FRANCESCA VASI,F,ITA,10.170,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1517,27,TETIANA KOLKOTINA,F,UKR,10.300,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",898,28,SILVIA PORTA,F,ITA,10.580,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",915,29,GIORGIA RANDI,F,ITA,10.600,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3888,30,ALINA RING,F,SUI,10.640,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",148,31,LUIZA EMELEVA,F,RUS,10.670,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1565,32,ALANNAH YIP,F,CAN,12.690,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",3203,33,JARA SPÄTE,F,SUI,12.820,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1899,34,LAUREL MELTON,F,USA,14.540,
"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",1869,35,JENNIFER DE LA TORRE,F,USA,14.550,
