Event,ID,Rank,Name,Country,Qualification,Final
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2970,1,YILING SONG,CHN,7.880,7.38
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",479,2,ANOUCK JAUBERT,FRA,8.024,7.68
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",110,3,IULIIA KAPLINA,RUS,7.464,8.23
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",73,4,ANNA TSYGANOVA,RUS,7.999,FALL
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",129,5,ELIZAVETA IVANOVA,RUS,8.130,7.79
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3337,6,ARIES SUSANTI RAHAYU,INA,7.711,7.91
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2878,7,ALEKSANDRA KALUCKA,POL,8.438,9.68
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",197,8,ELENA REMIZOVA,RUS,7.860,10.71
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",488,9,AURELIA SARISSON,FRA,8.462,8.34
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",996,10,ANNA CALANCA,ITA,8.544,8.47
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2857,11,PATRYCJA CHUDZIAK,POL,8.395,8.48
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3209,12,ANDREA ROJAS,ECU,8.590,8.61
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",137,13,EKATERINA BARASHCHUK,RUS,8.577,8.81
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2966,14,MINGWEI NI,CHN,7.967,10.01
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2855,15,ANNA BROZEK,POL,8.259,10.41
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",82,16,MARIIA KRASAVINA,RUS,8.102,FALL
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",181,17,POLINA AKSENOVA,RUS,8.635,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",222,18,KSENIIA PETROVA,RUS,8.693,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",175,19,POLINA KULAGINA,RUS,8.750,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",511,20,VICTOIRE ANDRIER,FRA,8.851,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1230,21,ALEXANDRA ELMER,AUT,8.924,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",144,22,ELENA KRASOVSKAIA,RUS,9.051,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3364,23,ASSEL MARLENOVA,KAZ,9.079,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3357,24,TAMARA ULZHABAYEVA,KAZ,9.154,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",220,25,KAMILLA KUSHAEVA,RUS,9.161,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1272,26,LAURA LAMMER,AUT,9.205,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",935,27,ELISABETTA DALLA BRIDA,ITA,9.232,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3290,28,NURUL IQAMAH,INA,9.260,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3524,29,MAHYA DARABIAN,IRI,9.316,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2935,30,RONG JIANG,CHN,9.339,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3374,31,MARGARITA AGAMBAYEVA,KAZ,9.389,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3560,32,AZAM KARAMI,IRI,9.424,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1565,33,ALANNAH YIP,CAN,9.509,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3246,34,PETRA KLINGLER,SUI,9.539,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2139,35,HUNG YING LEE,TPE,9.691,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",117,36,ELENA TIMOFEEVA,RUS,9.828,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1750,37,KYRA CONDIE,USA,9.902,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1870,38,SIENNA KOPF,USA,9.911,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1803,39,NATALIA GROSSMAN,USA,10.049,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1147,40,JANJA GARNBRET,SLO,10.050,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1270,41,SANDRA LETTNER,AUT,10.069,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2357,42,FUTABA ITO,JPN,10.102,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1226,43,JESSICA PILZ,AUT,10.116,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3478,44,KOBRA LAKZAIIFAR,IRI,10.128,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3465,45,ELNAZ REKABI,IRI,10.255,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",11456,46,ASHLEY FISHER,USA,10.331,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",118,47,IULIIA PANTELEEVA,RUS,10.356,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",4328,48,ALMA BESTVATER,GER,10.431,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3161,49,VALENTINA AGUADO,ARG,10.488,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3009,50,YUETONG ZHANG,CHN,10.593,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",466,51,JULIA CHANOURDIE,FRA,10.627,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",693,52,EMILY PHILLIPS,GBR,10.970,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1898,53,ISABEL GIFFORD,USA,10.972,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1130,54,KATJA DEBEVEC,SLO,11.002,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",147,55,VIKTORIIA MESHKOVA,RUS,11.154,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3254,56,ANDREA KÜMIN,SUI,11.171,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",316,57,CHLOE CAULIER,BEL,11.236,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",636,58,SHAUNA COXSEY,GBR,11.274,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",70,59,ANNA ZAIKINA,RUS,11.364,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2327,60,MAO NAKAMURA,JPN,11.438,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",469,61,FANNY GIBERT,FRA,11.656,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1408,62,HANA KRIZOVA,CZE,11.936,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",462,63,MANON HILY,FRA,11.983,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",928,64,LAURA ROGORA,ITA,12.017,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1160,65,LUCKA RAKOVEC,SLO,12.287,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",328,66,HELOÏSE DOUMONT,BEL,12.628,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3426,67,ANNE-SOPHIE KOLLER,SUI,12.693,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3273,68,VIRGITA NADYA PUTRI,INA,12.818,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1161,69,MIA KRAMPL,SLO,12.849,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",11451,70,SALSABILA SALSABILA,INA,13.464,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2227,71,WAI-PING YU,HKG,13.878,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2369,72,NATSUMI HIRANO,JPN,13.934,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3328,73,CHOIRUL UMI C,INA,14.425,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",2771,74,VANDA MICHALKOVA,SVK,15.230,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",3580,75,NIKKI VAN BERGEN,NED,15.917,
"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019",1070,76,HANNAH SEALY-FISHER,RSA,18.992,
