Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",2848,1,ALEKSANDRA MIROSLAW,F,POL,7.20,7.38
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1999,2,EMMA HUNT,F,USA,7.52,7.53
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",2294,3,MIHO NONAKA,F,JPN,8.58,8.95
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",2857,4,PATRYCJA CHUDZIAK,F,POL,8.28,10.40
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",479,5,ANOUCK JAUBERT,F,FRA,8.49,7.78
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",2879,6,NATALIA KALUCKA,F,POL,7.68,8.48
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1230,7,ALEXANDRA ELMER,F,AUT,8.54,8.63
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",569,8,CAPUCINE VIGLIONE,F,FRA,7.94,10.58
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",3120,9,FRANZISKA RITTER,F,GER,8.33,8.52
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",2000,10,CALLIE CLOSE,F,USA,8.72,8.70
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1517,11,TETIANA KOLKOTINA,F,UKR,8.68,8.95
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1811,12,BROOKE RABOUTOU,F,USA,9.36,9.55
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",2253,13,AKIYO NOGUCHI,F,JPN,9.12,10.20
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1750,14,KYRA CONDIE,F,USA,8.43,10.82
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1147,15,JANJA GARNBRET,F,SLO,8.36,14.47
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1249,16,LAURA STÖCKLER,F,AUT,8.77,14.94
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",3246,17,PETRA KLINGLER,F,SUI,9.42,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",3911,18,ALEJANDRA CONTRERAS,F,CHI,9.76,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",12721,19,JULIA DUFFY,F,USA,10.27,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1898,20,ISABEL GIFFORD,F,USA,11.28,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",928,21,LAURA ROGORA,F,ITA,11.59,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1103,22,ERIN STERKENBURG,F,RSA,12.04,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",488,23,AURELIA SARISSON,F,FRA,12.28,
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",1867,24,GABRIELLE TOURTELLOTTE,F,USA,FALL,
