Event,ID,Rank,Name,Country,Qualification,Final
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3014,1,LIJUAN DENG,CHN,6.74 (ASR),6.55
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",2878,2,ALEKSANDRA KALUCKA,POL,6.87,6.64
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",11357,3,DESAK MADE RITA KUSUMA DEWI,INA,7.02,6.82
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3311,4,RAJIAH SALLSABILLAH,INA,6.85,6.90
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",7165,5,GUIZHEN XIE,CHN,7.05,7.17
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",2941,6,DI NIU,CHN,7.09,7.06
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",2879,7,NATALIA KALUCKA,POL,7.15,7.08
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3290,8,NURUL IQAMAH,INA,7.22,7.25
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",488,9,AURELIA SARISSON,FRA,7.19,9.39
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",569,10,CAPUCINE VIGLIONE,FRA,7.321,8.03
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13154,11,JIMIN JEONG,KOR,7.39,8.13
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",2857,12,PATRYCJA CHUDZIAK,POL,7.41,7.52
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1024,13,BEATRICE COLLI,ITA,7.65,7.88
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",511,14,VICTOIRE ANDRIER,FRA,7.70,7.43
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3209,15,ANDREA ROJAS,ECU,7.73,8.08
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",2995,16,YUFANG XIE,CHN,7.324,DNS
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3524,17,MAHYA DARABIAN,IRI,7.86,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",966,18,GIULIA RANDI,ITA,7.87,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13437,19,KARIN HAYASHI,JPN,7.92,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3334,20,ALIVANY VER KHADIJAH,INA,7.96,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",2966,21,MINGWEI NI,CHN,7.99,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13761,22,CARLA MARTÍNEZ VIDAL,ESP,8.08,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13436,23,AI TAKEUCHI,JPN,8.13,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",2445,24,ERICA VELEV,CAN,8.15,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",1888,25,PIPER KELLY,USA,8.16,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13438,26,NATSUMI HAYASHI,JPN,8.20,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13045,27,FUMIKA KAWAKAMI,JPN,8.27,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",12853,28,JULIA KOCH,GER,8.37,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3364,29,ASSEL MARLENOVA,KAZ,8.41,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",11360,30,HEEJU NOH,KOR,8.60,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13551,31,LIBERTY RUNNELS,USA,8.67,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13807,32,SARAH VOUAUX,FRA,8.73,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13025,33,SOPHIA CURCIO,USA,8.74,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3478,34,KOBRA LAKZAIIFAR,IRI,8.83,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",4221,35,VALERIA MACIAS FERREIRA,MEX,8.84,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13734,36,PUJA LESTARI,INA,9.07,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",13158,37,HANAREUM SUNG,KOR,9.12,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",3374,38,MARGARITA AGAMBAYEVA,KAZ,9.18,
"IFSC - Climbing World Cup (L,S) - Chamonix (FRA) 2022",4220,39,MARÍA FERNANDA HIDALGO AMEZQUITA,MEX,12.11,
