Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2848,1,ALEKSANDRA MIROSLAW,F,POL,6.64 (WR) (ER),6.72
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1999,2,EMMA HUNT,F,USA,7.99,7.23
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2878,3,ALEKSANDRA KALUCKA,F,POL,7.40,7.24
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",3120,4,FRANZISKA RITTER,F,GER,7.55,7.58
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",3311,5,RAJIAH SALLSABILLAH,F,INA,7.26,FALL
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",569,6,CAPUCINE VIGLIONE,F,FRA,7.67,11.87
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",13154,7,JIMIN JEONG,F,KOR,8.12,8.17
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",11597,8,NURIA BROCKFELD,F,GER,8.20,10.86
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",11357,9,DESAK MADE RITA KUSUMA DEWI,F,INA,7.15,9.91
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",3290,10,NURUL IQAMAH,F,INA,7.31,8.38
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2857,11,PATRYCJA CHUDZIAK,F,POL,7.51,7.47
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",1024,12,BEATRICE COLLI,F,ITA,7.80,7.79
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2879,13,NATALIA KALUCKA,F,POL,7.83,9.02
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",488,14,AURELIA SARISSON,F,FRA,8.05,7.23
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",3334,15,ALIVANY VER KHADIJAH,F,INA,8.18,7.96
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",615,16,LISON GAUTRON,F,FRA,8.23,8.40
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",12493,17,MARÍA LABORDA SAGASTE,F,ESP,8.47,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",13045,18,FUMIKA KAWAKAMI,F,JPN,8.48,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",13436,19,AI TAKEUCHI,F,JPN,8.62,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",13437,20,KARIN HAYASHI,F,JPN,8.67,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",3209,21,ANDREA ROJAS,F,ECU,8.78,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",966,22,GIULIA RANDI,F,ITA,9.14,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",11360,23,HEEJU NOH,F,KOR,9.22,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2000,24,CALLIE CLOSE,F,USA,9.24,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2105,25,SEOYEON PARK,F,KOR,9.30,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2114,26,YOUJIN CHA,F,KOR,9.39,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",13158,27,HANAREUM SUNG,F,KOR,9.44,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",13025,28,SOPHIA CURCIO,F,USA,9.45,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2082,29,NAWOO CHOI,F,KOR,9.86,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",11819,30,HYEBIN KIM,F,KOR,10.06,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2110,31,YENA PI,F,KOR,10.72,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",511,32,VICTOIRE ANDRIER,F,FRA,11.06,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",11805,33,DASOM YUN,F,KOR,11.23,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",11517,34,GRACE CROWLEY,F,AUS,11.57,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",11377,35,YEJIN JUNG,F,KOR,FALSE START,
