Event,ID,Rank,Name,Gender,Country,Qualification,Final
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",2878,1,ALEKSANDRA KALUCKA,F,POL,7.06,7.47
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",2879,2,NATALIA KALUCKA,F,POL,7.00,FALL
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1999,3,EMMA HUNT,F,USA,7.02 (PAR),7.28
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",966,4,GIULIA RANDI,F,ITA,7.698,7.63
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",2857,5,PATRYCJA CHUDZIAK,F,POL,7.579,8.71
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",2941,6,DI NIU,F,CHN,7.67,FALL
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",2995,6,YUFANG XIE,F,CHN,7.67,10.41
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",2855,8,ANNA BROZEK,F,POL,7.699,9.11
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",3014,9,LIJUAN DENG,F,CHN,7.24,7.72
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",13606,10,SHENGYAN WANG,F,CHN,7.574,7.57
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",488,11,AURELIA SARISSON,F,FRA,7.62,8.82
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",569,12,CAPUCINE VIGLIONE,F,FRA,7.66,7.80
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",1024,13,BEATRICE COLLI,F,ITA,7.691,7.76
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",3357,14,TAMARA ULZHABAYEVA,F,KAZ,8.03,8.01
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",7165,15,GUIZHEN XIE,F,CHN,8.07,8.11
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",11598,16,SOFIA BELLESINI,F,ITA,8.18,8.16
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",12853,17,JULIA KOCH,F,GER,8.28,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",3364,18,ASSEL MARLENOVA,F,KAZ,8.42,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",13438,19,NATSUMI HAYASHI,F,JPN,8.79,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",13154,20,JIMIN JEONG,F,KOR,8.80,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",3120,21,FRANZISKA RITTER,F,GER,9.65,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",14003,22,MANAMI AIBARA,F,JPN,9.93,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",13025,23,SOPHIA CURCIO,F,USA,9.94,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",13840,24,SAVEENA FILLINGHAM,F,GBR,10.29,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",14073,25,HARUKA KANETANI,F,JPN,11.50,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",3374,26,MARGARITA AGAMBAYEVA,F,KAZ,FALL,
"IFSC - Climbing World Cup (L,S) - Edinburgh (GBR) 2022",2445,27,ERICA VELEV,F,CAN,FALSE START,
