Event,ID,Rank,Name,Country,Qualification,Final
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2848,1,ALEKSANDRA MIROSLAW,POL,6.37 (WR) (ER),6.25
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2879,2,NATALIA KALUCKA,POL,6.66,6.67
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11357,3,DESAK MADE RITA KUSUMA DEWI,INA,6.74,6.60
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2878,4,ALEKSANDRA KALUCKA,POL,6.72,6.71
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3014,5,LIJUAN DENG,CHN,6.84,6.697
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3311,6,RAJIAH SALLSABILLAH,INA,6.90,6.76
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1999,7,EMMA HUNT,USA,6.82 (PAR),6.86 (6.822)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2127,8,JIMIN JEONG,KOR,7.08,6.94 (6.864)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2941,9,DI NIU,CHN,7.20,6.96
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",14415,10,SHAOQIN ZHANG,CHN,7.21,9.07 (7.213)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",2855,11,ANNA BROZEK,POL,7.400,7.26
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",966,12,GIULIA RANDI,ITA,7.30,7.40 (7.307)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",569,13,CAPUCINE VIGLIONE,FRA,7.33,12.81 (7.337)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13609,14,YUJU MU,CHN,7.35,7.48 (7.354)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",13611,15,YAFEI ZHOU,CHN,7.401,7.40
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3209,16,ANDREA ROJAS,ECU,7.41,7.52 (7.411)
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",1024,17,BEATRICE COLLI,ITA,7.42,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3290,18,NURUL IQAMAH,INA,7.44,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",11594,19,MANON LEBON,FRA,7.51,
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2023",3120,20,FRANZISKA RITTER,GER,7.57,
