Event,ID,Rank,Name,Gender,Country,Qualification,Final
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2848,1,ALEKSANDRA MIROSLAW,F,POL,6.36,6.43
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,11357,2,DESAK MADE RITA KUSUMA DEWI,F,INA,6.65,6.52 (ASR)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2878,3,ALEKSANDRA KALUCKA,F,POL,6.82,6.64
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,3014,4,LIJUAN DENG,F,CHN,6.745,6.65
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2941,5,DI NIU,F,CHN,7.03,6.74
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2879,6,NATALIA KALUCKA,F,POL,6.749,FALL (6.749)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,1999,7,EMMA HUNT,F,USA,6.97,6.79 (PAR)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,3311,8,RAJIAH SALLSABILLAH,F,INA,6.92,6.84
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,3290,9,NURUL IQAMAH,F,INA,7.05,7.20 (7.53)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13606,10,SHENGYAN WANG,F,CHN,7.23,7.78 (7.237)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13154,11,JIMIN JEONG,F,KOR,7.32,7.29
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,11364,12,NARDA MUTIA AMANDA,F,INA,7.30,FALL (7.308)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,3120,13,FRANZISKA RITTER,F,GER,7.37,9.85 (7.377)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,569,14,CAPUCINE VIGLIONE,F,FRA,7.383,7.69 (7.383)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2857,15,PATRYCJA CHUDZIAK,F,POL,7.384,7.48 (7.384)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13611,16,YAFEI ZHOU,F,CHN,7.42,7.50 (7.423)
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,966,17,GIULIA RANDI,F,ITA,7.43,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,3209,18,ANDREA ROJAS,F,ECU,7.46,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13609,19,YUJU MU,F,CHN,7.49,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,14415,20,SHAOQIN ZHANG,F,CHN,7.56,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,3334,21,ALIVANY VER KHADIJAH,F,INA,7.62,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,511,22,VICTOIRE ANDRIER,F,FRA,7.69,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,3301,23,BERTHDIGNA DEVI SURYA KUSUMA,F,INA,7.752,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,14486,24,NURMA ANJANI,F,INA,7.759,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2855,25,ANNA BROZEK,F,POL,7.85,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,1888,26,PIPER KELLY,F,USA,7.92,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13551,27,LIBERTY RUNNELS,F,USA,8.09,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13025,28,SOPHIA CURCIO,F,USA,8.17,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13045,29,FUMIKA KAWAKAMI,F,JPN,8.21,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13436,30,AI TAKEUCHI,F,JPN,8.29,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,615,31,LISON GAUTRON,F,FRA,8.35,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,1024,32,BEATRICE COLLI,F,ITA,8.40,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,14073,33,HARUKA KANETANI,F,JPN,8.44,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,11360,34,HEEJU NOH,F,KOR,8.51,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13736,35,SUSAN NURHIDAYAH,F,INA,8.68,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,488,36,AURELIA SARISSON,F,FRA,8.99,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13438,37,NATSUMI HAYASHI,F,JPN,9.16,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2445,38,ERICA VELEV,F,CAN,9.35,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,13437,39,KARIN HAYASHI,F,JPN,9.42,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2082,40,NAWOO CHOI,F,KOR,9.51,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,12006,41,ABIGAIL RUANO,F,ECU,9.92,
IFSC - Climbing World Cup (S) - Jakarta (INA) 2023,2648,42,SHIVPREET PANNU,F,IND,9.94,
