,ID,Name,Gender,Country,Qualification,Semi-Final,Final,Q_Pct,S_Pct,F_Pct
0,2253,AKIYO NOGUCHI,F,JPN,92,91,81,100.0,98.91,88.04
1,1211,ANNA STÖHR,F,AUT,66,62,53,100.0,93.94,80.3
2,636,SHAUNA COXSEY,F,GBR,52,51,44,100.0,98.08,84.62
3,1204,KILIAN FISCHHUBER,M,AUT,55,51,43,100.0,92.73,78.18
4,53,DMITRII SHARAFUTDINOV,M,RUS,64,52,38,100.0,81.25,59.38
5,2294,MIHO NONAKA,F,JPN,51,50,38,100.0,98.04,74.51
6,60,RUSTAM GELMANOV,M,RUS,68,55,37,100.0,80.88,54.41
7,2276,TOMOA NARASAKI,M,JPN,50,43,29,100.0,86.0,58.0
8,1710,ALEX PUCCIO,F,USA,40,40,29,100.0,100.0,72.5
9,2272,KOKORO FUJII,M,JPN,57,50,29,100.0,87.72,50.88
10,2052,JONGWON CHON,M,KOR,49,44,27,100.0,89.8,55.1
11,79,ALEKSEY RUBTSOV,M,RUS,58,52,24,100.0,89.66,41.38
12,436,GUILLAUME GLAIRON MONDET,M,FRA,61,54,24,100.0,88.52,39.34
13,1147,JANJA GARNBRET,F,SLO,23,23,22,100.0,100.0,95.65
14,1559,SEAN MCCOLL,M,CAN,73,52,22,100.0,71.23,30.14
15,2823,JULIANE WURM,F,GER,47,41,22,100.0,87.23,46.81
16,3422,JAN HOJER,M,GER,63,47,21,100.0,74.6,33.33
17,454,MELISSA LE NEVE,F,FRA,53,49,20,100.0,92.45,37.74
18,1214,JAKOB SCHUBERT,M,AUT,54,38,20,100.0,70.37,37.04
19,1364,ADAM ONDRA,M,CZE,26,25,20,100.0,96.15,76.92
20,2309,YOSHIYUKI OGATA,M,JPN,47,36,15,100.0,76.6,31.91
21,2257,REI SUGIMOTO,M,JPN,52,45,15,100.0,86.54,28.85
22,1119,NATALIJA GROS,F,SLO,27,25,15,100.0,92.59,55.56
23,469,FANNY GIBERT,F,FRA,55,43,15,100.0,78.18,27.27
24,1209,KATHARINA SAURWEIN,F,AUT,73,58,15,100.0,79.45,20.55
25,3840,STASA GEJO,F,SRB,34,29,15,100.0,85.29,44.12
26,1124,JERNEJ KRUDER,M,SLO,91,54,15,100.0,59.34,16.48
27,3246,PETRA KLINGLER,F,SUI,68,49,14,100.0,72.06,20.59
28,43,YULIA ABRAMCHUK,F,RUS,29,27,14,100.0,93.1,48.28
29,2255,TSUKURU HORI,M,JPN,68,48,14,100.0,70.59,20.59
30,2035,JAIN KIM,F,KOR,34,24,12,100.0,70.59,35.29
31,1122,MINA MARKOVIC,F,SLO,40,33,12,100.0,82.5,30.0
32,1803,NATALIA GROSSMAN,F,USA,19,16,12,100.0,84.21,63.16
33,3577,JORG VERHOEVEN,M,NED,51,36,11,100.0,70.59,21.57
34,849,GABRIELE MORONI,M,ITA,47,36,11,100.0,76.6,23.4
35,4756,OLGA SHALAGINA,F,UKR,24,20,9,100.0,83.33,37.5
36,309,CHLOÉ GRAFTIAUX,F,BEL,27,24,9,100.0,88.89,33.33
37,4776,MYKHAYLO SHALAGIN,M,UKR,35,21,9,100.0,60.0,25.71
38,1811,BROOKE RABOUTOU,F,USA,23,14,9,100.0,60.87,39.13
39,470,JEREMY BONDER,M,FRA,41,27,8,100.0,65.85,19.51
40,490,MANUEL CORNU,M,FRA,40,25,8,100.0,62.5,20.0
41,5280,JULIETTE DANION,F,FRA,12,12,8,100.0,100.0,66.67
42,1130,KATJA DEBEVEC,F,SLO,39,27,8,100.0,69.23,20.51
43,4716,KLEMEN BECAN,M,SLO,41,27,7,100.0,65.85,17.07
44,1768,MEGAN MASCARENAS,F,USA,14,12,7,100.0,85.71,50.0
45,11462,ORIANE BERTONE,F,FRA,13,10,7,100.0,76.92,53.85
46,2357,FUTABA ITO,F,JPN,25,23,7,100.0,92.0,28.0
47,1226,JESSICA PILZ,F,AUT,26,22,7,100.0,84.62,26.92
48,4755,ALEX JOHNSON,F,USA,28,23,7,100.0,82.14,25.0
49,2265,KEITA WATABE,M,JPN,31,14,6,100.0,45.16,19.35
50,9191,STÉPHAN JULIEN,M,FRA,35,19,6,100.0,54.29,17.14
51,1138,ANZE PEHARC,M,SLO,31,19,6,100.0,61.29,19.35
52,1707,DANIEL WOODS,M,USA,15,13,6,100.0,86.67,40.0
53,1131,GREGOR VEZONIK,M,SLO,39,17,5,100.0,43.59,12.82
54,1213,DAVID LAMA,M,AUT,11,10,5,100.0,90.91,45.45
55,2263,MOMOKA ODA,F,JPN,22,19,5,100.0,86.36,22.73
56,3129,CÉDRIC LACHAT,M,SUI,18,15,5,100.0,83.33,27.78
57,439,ANNE-LAURE CHEVRIER,F,FRA,41,34,5,100.0,82.93,12.2
58,2664,ANGELICA LIND,F,SWE,19,14,5,100.0,73.68,26.32
59,2822,JONAS BAUMANN,M,GER,53,31,5,100.0,58.49,9.43
60,11675,MEJDI SCHALCK,M,FRA,12,10,5,100.0,83.33,41.67
61,2013,MONIKA RETSCHY,F,GER,48,33,4,100.0,68.75,8.33
62,2332,KAI HARADA,M,JPN,22,13,4,100.0,59.09,18.18
63,441,THOMAS CALEYRON,M,FRA,37,25,4,100.0,67.57,10.81
64,3131,YANNICK FLOHÉ,M,GER,24,17,4,100.0,70.83,16.67
65,1361,MARTIN STRANIK,M,CZE,45,18,4,100.0,40.0,8.89
66,2268,AYA ONOE,F,JPN,37,24,4,100.0,64.86,10.81
67,1360,SILVIE RAJFOVA,F,CZE,30,13,4,100.0,43.33,13.33
68,427,CECILE AVEZOU,F,FRA,34,25,4,100.0,73.53,11.76
69,523,MICKAEL MAWEM,M,FRA,41,24,4,100.0,58.54,9.76
70,1778,NATHANIEL COLEMAN,M,USA,25,15,4,100.0,60.0,16.0
71,4783,AKITO MATSUSHIMA,M,JPN,12,8,4,100.0,66.67,33.33
72,4773,LOÏC GAIDIOZ,M,FRA,29,24,4,100.0,82.76,13.79
73,4761,ANNA GALLYAMOVA,F,RUS,25,19,4,100.0,76.0,16.0
74,41,OLGA BIBIK,F,RUS,22,17,4,100.0,77.27,18.18
75,1212,LUKAS ENNEMOSER,M,AUT,39,19,4,100.0,48.72,10.26
76,3124,THOMAS TAUPORN,M,GER,12,9,4,100.0,75.0,33.33
77,486,ALBAN LEVIER,M,FRA,33,20,4,100.0,60.61,12.12
78,2291,TOMOAKI TAKATA,M,JPN,36,22,4,100.0,61.11,11.11
79,443,MÉLANIE SANDOZ,F,FRA,50,30,4,100.0,60.0,8.0
80,12297,ANON MATSUFUJI,F,JPN,7,3,3,100.0,42.86,42.86
81,2385,REI KAWAMATA,M,JPN,8,6,3,100.0,75.0,37.5
82,1256,NICOLAI UZNIK,M,AUT,15,10,3,100.0,66.67,20.0
83,58,YANA CHERESHNEVA,F,RUS,16,13,3,100.0,81.25,18.75
84,3113,HANNAH MEUL,F,GER,22,12,3,100.0,54.55,13.64
85,55,EKATERINA KIPRIIANOVA,F,RUS,24,12,3,100.0,50.0,12.5
86,2482,JAMES KASSAY,M,AUS,24,13,3,100.0,54.17,12.5
87,4328,ALMA BESTVATER,F,GER,33,12,3,100.0,36.36,9.09
88,634,DAVID BARRANS,M,GBR,58,19,3,100.0,32.76,5.17
89,547,PAUL JENFT,M,FRA,7,4,3,100.0,57.14,42.86
90,2101,DOHYUN LEE,M,KOR,9,6,3,100.0,66.67,33.33
91,2307,MEICHI NARASAKI,M,JPN,20,12,3,100.0,60.0,15.0
92,947,CAMILLA MORONI,F,ITA,15,13,3,100.0,86.67,20.0
93,4774,STEWART WATSON,M,GBR,27,17,3,100.0,62.96,11.11
94,1120,KATJA VIDMAR,F,SLO,17,15,3,100.0,88.24,17.65
95,2334,KEITA DOHI,M,JPN,19,8,3,100.0,42.11,15.79
96,446,MARINE THÉVENET,F,FRA,15,12,3,100.0,80.0,20.0
97,4757,MAUD ANSADE,F,FRA,25,21,3,100.0,84.0,12.0
98,4017,AYALA KEREM,F,ISR,13,9,3,100.0,69.23,23.08
99,1741,SEAN BAILEY,M,USA,27,11,3,100.0,40.74,11.11
100,848,JENNY LAVARDA,F,ITA,32,22,3,100.0,68.75,9.38
101,4839,PAUL ROBINSON,M,USA,4,4,3,100.0,100.0,75.0
102,13596,ZHILU LUO,F,CHN,5,4,3,100.0,80.0,60.0
103,2047,SOL SA,F,KOR,49,38,2,100.0,77.55,4.08
104,4463,CHRISTIAN CORE,M,ITA,23,11,2,100.0,47.83,8.7
105,631,TYLER LANDMAN,M,GBR,23,11,2,100.0,47.83,8.7
106,1137,JULIJA KRUDER,F,SLO,28,12,2,100.0,42.86,7.14
107,2278,MEI KOTAKE,F,JPN,26,14,2,100.0,53.85,7.69
108,3254,ANDREA KÜMIN,F,SUI,26,5,2,100.0,19.23,7.69
109,1161,MIA KRAMPL,F,SLO,15,6,2,100.0,40.0,13.33
110,68,DINARA FAKHRITDINOVA,F,RUS,11,4,2,100.0,36.36,18.18
111,4535,ALEXANDRA EYER,F,SUI,14,7,2,100.0,50.0,14.29
112,1929,COLIN DUFFY,M,USA,13,6,2,100.0,46.15,15.38
113,373,HANNES VAN DUYSEN,M,BEL,7,3,2,100.0,42.86,28.57
114,13021,ANASTASIA SANDERS,F,USA,3,2,2,100.0,66.67,66.67
115,67,VADIM TIMONOV,M,RUS,25,10,2,100.0,40.0,8.0
116,3576,WOUTER JONGENEELEN,M,NED,38,14,2,100.0,36.84,5.26
117,432,GÉROME POUVREAU,M,FRA,15,9,2,100.0,60.0,13.33
118,1243,JOHANNA FÄRBER,F,AUT,31,12,2,100.0,38.71,6.45
119,3111,DAVID FIRNENBURG,M,GER,16,7,2,100.0,43.75,12.5
120,412,JÉRÔME MEYER,M,FRA,6,6,2,100.0,100.0,33.33
121,4150,ROLANDS RUGENS,M,LAT,43,16,2,100.0,37.21,4.65
122,688,MAXIMILLIAN MILNE,M,GBR,12,8,2,100.0,66.67,16.67
123,857,MICHAEL PICCOLRUAZ,M,ITA,51,17,2,100.0,33.33,3.92
124,5611,NALLE HUKKATAIVAL,M,FIN,11,5,2,100.0,45.45,18.18
125,1750,KYRA CONDIE,F,USA,27,10,2,100.0,37.04,7.41
126,2337,TAISEI ISHIMATSU,M,JPN,16,12,2,100.0,75.0,12.5
127,5879,ANGELA PAYNE,F,USA,13,10,2,100.0,76.92,15.38
128,4781,FRANCOIS KAISER,M,FRA,18,8,2,100.0,44.44,11.11
129,13040,SORATO ANRAKU,M,JPN,3,2,2,100.0,66.67,66.67
130,4726,MATTHIAS MÜLLER,M,SUI,15,12,2,100.0,80.0,13.33
131,466,JULIA CHANOURDIE,F,FRA,14,7,2,100.0,50.0,14.29
132,1486,IEVGENIIA KAZBEKOVA,F,UKR,27,12,2,100.0,44.44,7.41
133,144,ELENA KRASOVSKAIA,F,RUS,16,5,2,100.0,31.25,12.5
134,4778,LUCAS PRETI,M,ITA,25,13,2,100.0,52.0,8.0
135,316,CHLOE CAULIER,F,BEL,50,25,2,100.0,50.0,4.0
136,2080,CHAEHYUN SEO,F,KOR,10,6,2,100.0,60.0,20.0
137,2254,SACHI AMMA,M,JPN,6,4,2,100.0,66.67,33.33
138,4818,EDWARD FEEHALLY,M,GBR,23,9,2,100.0,39.13,8.7
139,2033,JABEE KIM,M,KOR,21,4,1,100.0,19.05,4.76
140,2501,OCEANIA MACKENZIE,F,AUS,13,6,1,100.0,46.15,7.69
141,1153,VITA LUKAN,F,SLO,14,7,1,100.0,50.0,7.14
142,3353,STEFAN DANKER,M,GER,32,17,1,100.0,53.12,3.12
143,2260,ATSUSHI SHIMIZU,M,JPN,18,5,1,100.0,27.78,5.56
144,4786,FABIEN COMINA,M,FRA,8,4,1,100.0,50.0,12.5
145,855,STEFANO GHISOLFI,M,ITA,16,3,1,100.0,18.75,6.25
146,147,VIKTORIIA MESHKOVA,F,RUS,11,3,1,100.0,27.27,9.09
147,2266,RYUICHI MURAI,M,JPN,10,6,1,100.0,60.0,10.0
148,2343,NANAKO KURA,F,JPN,22,7,1,100.0,31.82,4.55
149,2356,SAKI KIKUCHI,F,JPN,9,2,1,100.0,22.22,11.11
150,1270,SANDRA LETTNER,F,AUT,14,4,1,100.0,28.57,7.14
151,3579,NICKY DE LEEUW,M,NED,39,11,1,100.0,28.21,2.56
152,2349,SERIKA OKAWACHI,F,JPN,5,1,1,100.0,20.0,20.0
153,2327,MAO NAKAMURA,F,JPN,17,11,1,100.0,64.71,5.88
154,2833,ANDRZEJ MECHERZYNSKI-WIKTOR,M,POL,30,10,1,100.0,33.33,3.33
155,2380,AI MORI,F,JPN,6,3,1,100.0,50.0,16.67
156,11620,LUCE DOUADY,F,FRA,2,2,1,100.0,100.0,50.0
157,4330,LUCIA DÖRFFEL,F,GER,13,4,1,100.0,30.77,7.69
158,1160,LUCKA RAKOVEC,F,SLO,10,9,1,100.0,90.0,10.0
159,1356,TOMÁS MRÁZEK,M,CZE,5,4,1,100.0,80.0,20.0
160,3998,NIMROD MARCUS,M,ISR,26,5,1,100.0,19.23,3.85
161,2289,MINORU NAKANO,M,JPN,8,4,1,100.0,50.0,12.5
162,5493,OLGA BEZHKO,F,UKR,6,3,1,100.0,50.0,16.67
163,165,NIKOLAI IARILOVETS,M,RUS,11,2,1,100.0,18.18,9.09
164,1474,SVITLANA TUZHYLINA,F,UKR,2,2,1,100.0,100.0,50.0
165,5777,ANNE HOARAU,F,FRA,2,2,1,100.0,100.0,50.0
166,430,SANDRINE LEVET,F,FRA,4,4,1,100.0,100.0,25.0
167,1469,NATALIYA PERLOVA,F,UKR,2,2,1,100.0,100.0,50.0
168,3578,VERA ZIJLSTRA,F,NED,80,26,1,100.0,32.5,1.25
169,1926,ZACH GALLA,M,USA,16,3,1,100.0,18.75,6.25
170,1871,ROSS FULKERSON,M,USA,14,4,1,100.0,28.57,7.14
171,1205,SABINE BACHER,F,AUT,36,20,1,100.0,55.56,2.78
172,5874,TIFFANY HENSLEY,F,USA,5,3,1,100.0,60.0,20.0
173,4758,ALEXANDRA BALAKIREVA,F,RUS,21,18,1,100.0,85.71,4.76
174,4759,SAMANTHA BERRY,F,AUS,10,8,1,100.0,80.0,10.0
175,5608,LUDIVINE HARMAND,F,FRA,9,4,1,100.0,44.44,11.11
